	chao1	observed_features	shannon_entropy	simpson_e	faith_pd
PD104	198.4	154	4.688311314143054	0.0881050080595818	13.81592045252839
PD105	297.9130434782609	279	6.575711182197918	0.1940280321533786	19.32802337548917
PD106	248.8	224	5.991393439877598	0.1667235216105161	15.83746114458728
PD107	148.54545454545453	148	5.496645477428462	0.1597029412861207	14.02009987907292
PD108	141.57142857142858	139	5.292806674634933	0.1382739561827642	11.66950059599938
PD109	191.33333333333331	180	5.5284739577694255	0.139430926616109	13.95687269659529
PD11	177.27272727272728	169	5.606787708216996	0.15620356556132	14.53213027394365
PD110	107.875	101	4.386866143417224	0.0850433213655552	11.1484621421916
PD111	177.58823529411765	152	4.886966704848927	0.1079263307644679	12.86706003396493
PD112	165.11111111111111	155	5.617979861706493	0.1743540622238613	14.90410318760059
PD113	356.1290322580645	315	6.682233733833772	0.173453972652761	22.14429142992683
PD114	147.0	130	4.8078584204521375	0.1105629009370117	12.373708819573
PD115	162.1764705882353	156	5.364330732106879	0.1371338589048815	13.12956686546248
PD116	67.75	64	3.65131161589354	0.0937464601336653	6.252095264616623
PD117	163.53846153846155	149	4.061437512443554	0.0473034478450026	15.70001219827654
PD118	275.4	258	6.434570471308263	0.1807140309178286	18.03904322860721
PD119	118.42857142857144	112	3.932198802860493	0.0631579964278645	9.387243527540312
PD12	124.0	94	2.6214695715227703	0.0357179885981636	8.3426809281451
PD120	179.0909090909091	175	5.535149422988888	0.1240308154561	15.3294028406146
PD121	139.375	128	4.865706284934849	0.1061815969657818	10.62001610923684
PD122	170.85714285714286	163	5.675651920410154	0.1372909424483645	12.03703159865579
PD123	111.76923076923076	109	4.790677472171465	0.1408321729724633	10.97111355466869
PD124	103.33333333333331	85	3.5641571555431577	0.0554631711675991	7.734157633185591
PD125	130.875	129	4.853019635542394	0.1105438450527971	11.84281980291629
PD126	244.75	236	6.014644107132624	0.1132206708554812	19.12045145782481
PD127	133.0	129	5.018781241227487	0.1438048405871284	11.76224113754219
PD128	182.57142857142856	169	4.771647952996499	0.0619559345032739	15.27546818839302
PD129	185.0	175	5.288675130663992	0.113095362971368	13.27670833077261
PD13	115.3	100	3.419549938234117	0.0433270569758598	9.548478498802346
PD130	97.42857142857144	97	4.199546782679152	0.0759612149996947	12.19864064135697
PD131	223.1764705882353	217	5.983883594130433	0.1420564728006261	15.87587337307457
PD132	147.0	141	4.173278801632735	0.0471292346947595	12.98490634843001
PD133	90.6	75	3.374691795826293	0.0725688430679538	7.998548926539145
PD134	134.16666666666666	134	5.7131020670326045	0.2303534364374429	12.36064707796989
PD135	116.5	115	5.125893525775733	0.1492082206090094	10.50679545730423
PD136	102.42857142857144	101	4.627541041362142	0.1062367402339024	9.363975913413617
PD137	142.0	130	5.2578952778508485	0.1660776391040563	11.77174805881196
PD138	72.6	67	3.738598681603092	0.1155438929966309	9.77106678621343
PD139	94.0	93	4.929561512260548	0.1855889876423976	11.3804375400699
PD14	131.0	118	4.1355696331461616	0.0582510361723439	11.13589215056684
PD140	64.0	58	3.670973162309018	0.1422844374267989	10.29141554720482
PD141	220.8125	218	5.960428017103292	0.1299585111092122	18.61252585115133
PD142	57.5	57	3.6339898723744217	0.122442171707137	8.16294293341741
PD143	145.625	143	5.241201905877759	0.1184349294964325	12.36101048019532
PD144	118.875	117	5.154871815155852	0.1522828425497925	10.92884177727741
PD145	84.33333333333333	81	4.395589652278032	0.14576584447617	9.260713017884322
PD146	159.15384615384616	158	6.035928830610676	0.2508827283709459	14.51458610494413
PD147	125.07142857142856	124	5.181249732720225	0.1291540555050196	12.90392159818005
PD148	120.375	120	5.174884303075141	0.1930634615043041	11.61620318089876
PD149	97.33333333333331	97	4.867761582300168	0.1505035338034082	9.033125741994573
PD15	214.0	191	5.470050463714561	0.1129425738333163	14.35351554179077
PD150	105.0	103	5.067201210822582	0.1716747245345996	10.38599150308916
PD151	67.0	63	3.85934100060788	0.1561217391609532	7.462714236646203
PD152	86.0	77	3.991381672002759	0.1131763470561193	8.341488623011927
PD153	133.0	124	4.933757954301273	0.1328610367939615	11.21680966544108
PD154	81.625	76	3.2056766023142544	0.0560612253162985	10.18560416052983
PD155	137.06666666666666	128	3.686337679178955	0.0376039771025111	11.64312485327103
PD156	163.4	159	5.250250202664393	0.1184415999115004	14.08451601890397
PD157	142.5625	133	4.114443770981232	0.0537691634602474	11.05644466048624
PD158	162.23076923076923	158	5.550515724783029	0.1579283370101261	12.98857415980773
PD159	100.66666666666669	96	4.678991381565235	0.1524877014399132	10.46259295727743
PD16	117.54545454545456	117	4.447603124681432	0.0652022224041885	11.09744674021791
PD160	146.5	143	5.422403123365197	0.1724300354181983	10.95259132154446
PD161	139.58333333333334	135	5.106586972509137	0.1297074800591611	11.62109251898956
PD162	98.54545454545456	98	3.940253370619349	0.0775614465280513	9.867738022210249
PD163	112.0909090909091	108	4.533393665662097	0.1162913220047723	12.49094904238678
PD164	144.33333333333334	135	5.274169915967449	0.1654460635161666	12.27363459090481
PD165	80.11111111111111	79	4.379621630873178	0.1708747589140842	9.952697185045308
PD166	327.64	325	7.143332598434253	0.2173084909163964	25.30018577224584
PD167	82.5	79	3.8562932476384257	0.1081802176495973	10.12617579074827
PD168	201.2142857142857	198	5.633626639924115	0.1027538335657111	14.9099327224936
PD169	142.1	133	4.807034663308577	0.1003270891853204	11.51450341656377
PD17	145.76923076923077	143	4.640783645358852	0.0607953603354443	12.06733902367025
PD170	174.42857142857142	165	5.897906046172542	0.2035409241112115	15.4001864239014
PD171	104.3125	103	3.812857283470888	0.0638073858999132	11.28146818648641
PD172	147.66666666666666	146	4.871261828301426	0.1072668594712663	12.53939918392152
PD173	71.6	66	3.154911050063097	0.0542937673172278	8.081741481833324
PD174	150.8	148	5.693556947529803	0.1744098646889202	13.79147069159382
PD175	104.0	102	4.245788628055557	0.1035356762529189	11.13345017446985
PD176	164.625	159	5.464279969083925	0.150010021869541	15.1916442416673
PD177	162.75	161	5.529399002540397	0.1299118717355355	11.92095014562842
PD178	112.6153846153846	111	4.986134455125829	0.149681746072773	11.25674246331915
PD179	191.5625	185	5.742340164542792	0.1349832789463205	14.19258912936658
PD18	185.1304347826087	176	4.244157952711447	0.0333333969778992	16.48237304392688
PD180	130.0	126	4.948570760535757	0.0983925200746815	11.50735855974915
PD181	97.2	97	5.098259166375161	0.1867968057596777	10.35498093806497
PD182	70.0	69	3.8756485683835895	0.1141749478841028	10.30841952471335
PD183	94.2	93	4.588709737327861	0.1389213582833536	6.686163311398595
PD184	332.0	321	6.4768473689006205	0.1243346684041889	23.78137119072624
PD185	133.14285714285714	131	4.464057617746001	0.0524357910996088	14.05161412698923
PD186	152.9090909090909	151	5.444219087049053	0.1356708866327152	13.43892744676335
PD187	80.66666666666667	79	4.1827846410094525	0.1474643170048445	9.718048294014464
PD188	103.33333333333331	100	4.931058074312368	0.1772464480698038	10.57511284474009
PD189	107.5	107	5.263687006697375	0.1440211033085726	10.00515070886336
PD19	116.8	114	4.585710232186761	0.0934763973891339	10.1018052224599
PD190	163.0	159	5.753528496100848	0.1805225504672181	15.72385345099543
PD191	64.0	63	4.821664173673523	0.3267083864128281	8.397276206448264
PD192	125.6	125	4.453173803193934	0.0808127173357016	12.63289098930722
PD193	115.0	108	4.709413090466362	0.1115323733465359	10.34463789658731
PD194	71.9090909090909	71	3.394978040083883	0.0783750649517675	9.822829998518277
PD195	115.2	111	4.975035518506363	0.1420359219982349	11.5329719502863
PD196	244.13636363636363	240	6.247933149790112	0.1692275533865547	22.31225785777705
PD197	121.2	120	5.076581110330151	0.1537814426151013	11.27519827842536
PD198	263.2307692307692	254	6.485393804465549	0.2030601769727923	21.24440750491901
PD199	136.0	136	5.638647362187312	0.1658765942366297	13.17358292546773
PD2	187.11764705882356	185	5.652617427871654	0.1135000410586398	13.43818499097312
PD20	105.54545454545456	103	4.357188259875507	0.1075736589114664	10.38870735625917
PD200	105.0	105	5.360875424496832	0.2129509483887609	11.09360222567956
PD201	159.33333333333334	157	4.6277212394453775	0.0412454818637095	12.60567014991073
PD202	185.9090909090909	175	4.874821750176908	0.0453082512895294	16.22880593013943
PD203	68.2	68	4.688054786676615	0.2681817864876071	9.085606598851395
PD204	108.0	106	4.687753066341715	0.1244045760620973	10.18543786474726
PD205	112.33333333333331	112	5.251386637815919	0.1987241211910627	11.84752879932073
PD206	91.0	88	4.329640849592051	0.100681316104231	9.15247416714958
PD207	145.25	144	5.752512227860479	0.208605897799398	13.06125082862038
PD208	110.0	110	5.360291669382653	0.2361111957176229	10.7183773889913
PD209	65.0	62	3.786496508457178	0.0991832068516679	8.969171073911784
PD21	99.16666666666669	90	3.814373656539261	0.0874922328770263	9.809109989784098
PD210	76.0	74	4.8017028668217705	0.2342619583561325	9.090763499431286
PD211	98.0	96	4.814833531179616	0.1464288006942365	10.47834878425285
PD212	187.55	183	5.709961263143331	0.1373800449994931	16.92786427152159
PD213	151.75	129	4.9244087790201965	0.1201720431037891	10.89664607289733
PD214	95.25	95	4.999720392118522	0.1847396854337616	9.59855673654472
PD215	148.6	143	5.705942296594839	0.2055191518796767	13.27916799222524
PD216	115.2	97	3.593724391748089	0.0614375116537744	11.10062349332783
PD217	94.0	91	4.043236908503133	0.0932179017299117	10.81013328368333
PD218	188.5	183	5.4868549285018124	0.1154857514095659	16.41048023684354
PD219	87.0	78	3.914209862588529	0.0999052015527298	10.13842945079075
PD220	127.0	125	5.4578551813406415	0.1702793560545592	13.8246739131875
PD221	135.58333333333334	131	5.03567551801169	0.1213838536168989	12.52213661650657
PD222	201.6875	196	5.670215830847959	0.1214296890674296	16.31880022417421
PD223	177.4375	174	5.608122617515269	0.1566186175783323	15.40262454480775
PD224	161.5	159	6.070658943791754	0.2264483369554877	13.71399207311918
PD225	99.11111111111111	93	4.45608825150333	0.1457743750695544	9.731595827872724
PD226	53.5	51	3.352571433177377	0.1239729261477286	6.396625500270472
PD227	120.5	113	4.095605784460676	0.0685503025746603	13.61509809915551
PD228	173.2	168	5.293892160235276	0.1071732900703054	15.06268133421681
PD229	112.0	106	4.385572080549624	0.1054856357614837	12.90514216615593
PD23	82.11111111111111	81	3.647386646822208	0.0905300376908775	9.376529551086938
PD230	106.0	101	4.667365678987426	0.1147558494596687	11.70434502438147
PD231	197.9375	176	5.461887876574453	0.1152530878515094	17.17463198498676
PD232	132.5	131	5.331610547432633	0.1541204883153552	12.92539639329473
PD233	221.23529411764707	205	5.866267367368096	0.1527755124564292	17.30788186541069
PD234	130.6	127	4.728015142252578	0.092376304082751	13.63112317200083
PD235	98.33333333333331	96	4.965163863408511	0.2157365487398914	11.09512304046623
PD236	115.0	111	4.936673100461606	0.1541397492807847	11.15449244036622
PD237	209.47368421052636	206	5.8489706537579815	0.1156044345491159	16.67462893227047
PD238	196.25	180	4.4549399451670935	0.0465284266166869	18.24760466145756
PD239	162.6	156	5.514223884485228	0.1624840668124083	13.45754509628638
PD24	158.27272727272728	141	4.897074153401844	0.0840605686322557	12.91527474294091
PD240	156.92857142857142	146	4.759312841152591	0.0931447713562629	13.34196746775383
PD241	90.16666666666669	90	4.278434036417529	0.0973737235643729	9.695787728362465
PD242	125.0	110	4.885071652970703	0.1578052695598053	9.536510728604426
PD243	191.5	175	4.9704207256992925	0.0722747643698132	14.8855272286842
PD244	110.0	107	5.029056871020109	0.1559675053181878	11.12173508440876
PD245	106.625	101	3.4978445101739024	0.0398570013375714	9.889786026898063
PD246	177.57142857142858	172	5.285639299255581	0.1023246842125176	15.89120702160118
PD247	94.92857142857144	91	3.3437573382138788	0.0523965146697744	10.71583317097726
PD248	82.375	71	3.317399976039179	0.0755919512726057	10.39276547892413
PD249	124.5	123	4.14246778455151	0.0683755962688744	12.44670192951924
PD25	141.05263157894737	130	4.594076297098656	0.1027027375661184	9.83071513871606
PD250	169.0	149	4.8053594567356654	0.0995530900511597	15.67473904704913
PD251	61.0	55	2.526689184259563	0.0663957525202964	9.09067267884587
PD252	98.27272727272728	95	3.577429654324282	0.0579282929643707	10.42557442819382
PD253	93.66666666666669	92	4.637166853318167	0.1561704331164576	8.86093387020028
PD254	127.625	122	4.621322497230008	0.0973357723497562	11.40497463440884
PD255	115.71428571428572	111	4.035887888597691	0.0775379785011904	12.04048717576478
PD256	165.42857142857142	159	4.816938261555913	0.0739781096702098	14.56294608812313
PD257	111.57142857142856	109	4.6559788723714455	0.143081017637411	11.13755492030538
PD258	84.66666666666667	83	3.0244498944362834	0.0591313580092424	11.11224992843969
PD259	131.5	115	4.472550752635596	0.1183920176123754	13.31659436208621
PD26	136.6	121	4.573758942471878	0.0819269967637214	11.67443307682884
PD260	128.75	127	4.785989038037961	0.1186944383767188	13.20097153393773
PD261	77.0	67	1.627729315135759	0.0308949715925061	10.04453688986072
PD27	127.66666666666669	105	3.968066212079437	0.0704938094169409	9.701860270821806
PD28	130.625	125	4.8060929430392445	0.1151704868717161	10.99776499823005
PD29	82.75	82	4.386354145387315	0.1237297103690397	9.487160863151328
PD3	95.85714285714286	95	4.688918290814593	0.1509882619611315	9.363917423210747
PD30	330.0	251	3.551129012427094	0.014430654047411	25.13394569832593
PD31	160.0	155	5.248188269429956	0.1397246597033857	11.76548029183727
PD32	73.42857142857143	67	2.248470034061786	0.0331855089483201	7.582716141872167
PD33	109.0	109	5.362656859703114	0.2275849117029715	10.46018426418772
PD34	125.33333333333331	118	4.490599513692716	0.0899759762343934	12.98132093373556
PD35	129.75	106	3.5344866853983468	0.0572817535460664	11.41054935863541
PD36	122.625	117	4.102189732212049	0.0530835476382505	7.461889556380028
PD37	122.5	118	4.879313036652386	0.1348995130829055	8.930590872384345
PD38	138.6153846153846	137	4.607239239328364	0.0754305871338584	11.66070922984222
PD39	256.7916666666667	232	5.5154239343674005	0.085629207665132	18.83544676396474
PD4	130.42857142857142	111	4.523408542504973	0.1115340228446929	11.63287281136411
PD40	189.0	175	5.5840957124085655	0.1417403704781455	13.1445232733284
PD41	42.5	42	2.348277109876187	0.061843815319515	4.088116558576836
PD42	118.75	117	4.34329570719335	0.0807613895651564	11.23873500873422
PD43	106.86666666666666	105	3.66511497556149	0.05664743678789	11.57861199518492
PD44	69.33333333333333	67	3.622556260282265	0.1111077349174061	8.378309589287149
PD45	314.25	293	6.178685696614237	0.0995147927395957	23.15689236732794
PD46	207.89655172413796	181	4.264975377723856	0.0474233081855022	16.46587931856923
PD47	152.95454545454547	137	3.4774650588937703	0.038313731571051	18.46861093003808
PD48	132.57142857142858	127	4.704150222597593	0.1036683261118253	10.74772810796127
PD49	151.33333333333334	140	4.868352484928167	0.1158681957560724	12.81582569259663
PD5	226.66666666666663	196	5.946842760710044	0.1734275500929176	16.40078766743214
PD50	36.6	36	1.5354260046180532	0.0577350082379311	5.857892043856822
PD51	126.11111111111111	123	4.767149134197794	0.1217725548197635	12.67230451279532
PD52	105.0	102	4.357847485790731	0.069813583768621	10.0620377460225
PD53	84.0	81	4.149869403625849	0.1197119605728179	12.49682642026508
PD54	78.0	77	3.305523927780213	0.0629556633330769	10.5895229246542
PD55	54.875	53	2.367174449343931	0.0588171805469031	7.685171867371922
PD56	96.0	91	3.7956312709831206	0.055054668790617	12.06922060563322
PD57	88.14285714285714	88	4.153701216615607	0.0871768210530042	11.71293731276444
PD58	127.8	120	4.807094690932905	0.1140599720032955	11.23013979222758
PD59	138.25	124	4.729449181183605	0.1023783171045682	13.24400952261153
PD6	173.375	148	4.379575388996415	0.0453558779477968	11.71975415018777
PD60	128.92857142857142	118	4.173407003436023	0.0547599769343091	11.08829020557555
PD61	135.125	122	4.816297350070885	0.1155840798982257	11.73177483617033
PD62	71.2	70	3.932914871318456	0.1224400239786542	8.006494965925691
PD63	201.54545454545453	186	5.7944450646439165	0.1392287718462403	12.29279031211319
PD64	174.35294117647058	162	5.541777460120429	0.1612601742107852	13.324212077903
PD65	213.07142857142856	188	5.456039763453352	0.0935514933202026	15.29995379207093
PD66	300.54545454545456	278	6.600307229206769	0.1931257880014965	22.80763431218748
PD67	122.06666666666666	113	3.717678889730082	0.0577395821306298	11.43404869262591
PD68	115.66666666666669	112	4.599034884694475	0.1010687543730428	9.679292434862631
PD69	242.6071428571429	231	5.63793738775486	0.0707935034393331	17.19778157231648
PD7	166.6153846153846	152	4.187355728245306	0.0411496279016915	12.3727240293819
PD70	214.8823529411765	191	5.52860028924957	0.1455792943105434	13.53255741371801
PD71	282.55555555555554	263	6.31012628735712	0.1530734967669056	19.12283069333019
PD72	165.4	154	5.352343564071509	0.1617634828552675	12.86008262230621
PD73	157.1	148	5.151814940217735	0.1327046755434912	11.52818587430131
PD74	115.125	102	5.09107644651707	0.2122739119386941	10.75075328955428
PD75	225.0	206	5.916404393935541	0.1376185837317042	14.53910252945872
PD76	131.0	124	4.494969311278405	0.0922805585297784	11.41522116060347
PD77	88.375	88	3.716028594298433	0.0624039397434347	11.96118465657356
PD78	162.3684210526316	160	4.858560819148615	0.0771540357486126	12.83519116043748
PD79	123.1	121	4.284953238000743	0.0728031044408583	12.21942537069846
PD8	99.66666666666669	98	4.824512153516883	0.1504750696576183	10.88936763662002
PD80	312.84090909090907	296	6.322792248301572	0.1399996178570431	22.93770984495731
PD81	189.26086956521735	181	5.63421434675139	0.1315023749197408	14.04483838179952
PD82	93.6	78	3.8663890653808046	0.1113558326278718	7.209108262632052
PD83	92.5	88	4.463422149503989	0.1491388721521932	10.4789272250865
PD84	87.0	74	3.641333947137357	0.0923637153060641	11.39089653020548
PD85	198.42857142857144	159	5.678110468620794	0.1762326060048025	12.42616582959549
PD86	178.05555555555554	164	5.487963622913284	0.1601013972100167	13.6551717997786
PD87	217.0	207	6.102456884619624	0.1936680524622894	15.3479515040742
PD88	122.75	100	4.770585655091049	0.159667380912084	10.0748743676065
PD89	216.55555555555557	194	5.408632480026613	0.0888347677477359	14.0310551456097
PD9	67.375	67	2.7282481453779828	0.0464147099771323	9.057754464154453
PD90	122.0	114	3.914176862671632	0.061703950241974	8.19191428636199
PD91	134.75	112	4.842151007012907	0.1589337634767567	10.80458673564677
PD92	179.4	164	4.675371757462052	0.0583407210966334	13.83432723678208
PD93	345.12	309	6.577112534132215	0.1697975362703498	20.68049331711978
PD94	99.375	99	4.766807227933398	0.1451841081126818	9.508755093152605
PD95	122.42857142857144	103	4.36793022812605	0.1152801001402262	7.762867976235112
PD96	46.0	35	2.373400071576157	0.1195390540604494	6.407249727402322
PD97	122.0	119	4.862867162223362	0.1138675180622976	12.16225962840898
PD98	135.0	128	5.308226169157977	0.1511594339739462	10.76312766853107
PD99	241.0	222	6.344506079025155	0.2132323955995213	15.20150478853455
PV1	81.0	75	3.5164241407301717	0.0851545333378294	11.24815902771844
PV10	163.66666666666666	160	5.6378670184732345	0.153096442920502	13.28698207829288
PV100	100.0	94	4.545255387717461	0.1395817424155286	9.840237476936927
PV101	148.75	148	5.714567640072255	0.1887434978431223	12.19998207499106
PV102	147.0	144	5.4601245142909285	0.1697909007399134	10.5252066033102
PV103	179.85714285714286	172	5.434232477139171	0.1185293253024436	14.60999322576116
PV104	95.14285714285714	90	3.957094876075092	0.0831113719478408	9.754877022019766
PV105	135.66666666666666	131	4.940406661154483	0.0917973406706972	12.71095911404235
PV106	154.5	150	5.618752734962578	0.2038914310752153	13.86370843854961
PV107	143.25	138	5.639864373045702	0.1822723754141338	12.47738780619509
PV108	133.0	130	5.125417585973233	0.1332807247656538	14.56994114783803
PV109	113.0	108	4.257474842687603	0.0940979528222524	11.18425116831742
PV11	149.5	143	4.474262326980166	0.0717646617428645	13.92248079912375
PV110	180.2	170	5.108466127126295	0.0782585567866861	13.60892761300632
PV111	191.7692307692308	189	5.555524806087474	0.0835075287857675	17.88528566633958
PV112	157.75	157	5.7612731260199554	0.2054749237252426	14.65111224106862
PV113	112.2	111	4.623471421836962	0.0992830228846533	10.83079338739885
PV114	145.0	142	4.557884369455623	0.0700933767142176	14.44029711765922
PV115	193.58333333333331	186	5.539793311591914	0.1182112390678423	15.25591761415209
PV116	175.33333333333334	164	5.283123590743621	0.1056582887532837	13.86864187745999
PV117	162.0	156	5.226226372796733	0.1004737344617771	16.15516851706738
PV118	150.06666666666666	144	5.115784008550364	0.1371538379769453	14.81899265362416
PV119	129.07692307692307	124	4.782527615430843	0.1057696667843417	11.42122832702274
PV12	220.7692307692308	209	5.853175385517943	0.1120923006024869	16.38644756721617
PV120	204.33333333333331	176	4.59453085001925	0.0543982224923855	15.1287922132939
PV121	283.24	267	6.21525968406826	0.0922204186490506	19.79852118459213
PV122	287.88461538461536	279	6.664512407244498	0.1986376342508838	22.17847814007251
PV123	162.83333333333334	162	5.534718493887379	0.1343067326600526	13.63564518674805
PV124	178.0	171	5.489706991160828	0.1244133128495273	15.26721123946077
PV125	212.92857142857144	202	6.149225841447797	0.1921908831241037	15.6392769582454
PV126	117.07692307692308	112	4.131624754593401	0.0789774929308825	11.82394233722185
PV127	232.66666666666663	221	5.692562694547765	0.0753101754634155	18.2320103841573
PV128	158.5	153	4.746150882661337	0.055329931162262	12.59048356764342
PV129	187.55	179	5.463099770734447	0.1247954290928595	16.11570680067901
PV13	155.25	147	5.344247317608029	0.1447693637427867	12.6958054711271
PV130	106.0	104	4.4061343337124095	0.0770044675651145	13.03265048625886
PV131	95.5	95	4.9191982358705015	0.2001711423232635	11.24538085322619
PV132	156.0909090909091	152	5.619921636828794	0.1251137208654434	13.91321997474557
PV133	123.6	123	5.047412487917088	0.1393332038983602	11.47942800447784
PV134	113.6	113	5.193884295674277	0.1665384010107202	12.61972535560108
PV135	131.25	131	5.431243072680928	0.1583224748391706	13.0393511746638
PV136	151.11111111111111	145	5.675395558175247	0.1985373357401353	12.60160661365713
PV137	95.25	94	4.6309930521316485	0.136906326320314	11.39092876738367
PV138	238.5	228	6.341041010035017	0.2231148482074721	18.47354303199707
PV139	156.58333333333334	152	5.475369847456632	0.1771917076208679	12.012982482496
PV14	259.5	240	6.351669064104736	0.184240889214332	19.26892352904294
PV140	310.5	292	6.57627997967965	0.1924691531997796	19.53659691372248
PV141	177.11111111111111	171	5.745653097938564	0.1755875298340333	13.90855505662843
PV142	296.6470588235294	246	6.027346950155329	0.1350283058487267	17.58278437030789
PV143	282.1034482758621	270	5.986246440003281	0.1025444834380097	22.49811465490587
PV144	218.04761904761904	206	5.695441301742407	0.1175229225404819	16.21401606129011
PV145	311.7567567567568	300	6.315115701967218	0.121530309659229	20.56692219872373
PV146	279.4761904761905	264	6.407570071519606	0.1686187592983128	19.31458031347223
PV147	241.5	229	5.778996011873626	0.0934390477553387	16.35177781964231
PV148	188.0	183	6.0740761017219285	0.1923809509738231	14.15190091032635
PV149	86.0	85	4.243052528358462	0.103063221360743	9.442096416072369
PV15	280.5	266	5.843333087148888	0.0958238703907486	19.48686254335921
PV150	152.6	146	5.152302823014779	0.1214137280452837	14.00558346648421
PV151	128.9090909090909	127	5.0396870884359855	0.1269529537870808	12.20587740064932
PV152	203.33333333333331	196	5.836438890821842	0.1255177582423947	16.99421899593079
PV153	130.42857142857142	129	5.286113682488389	0.1669956480934106	12.27923975188762
