source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Longicatena	g__Roseburia	-0.0722	0.0709	3.5482537367306777	6.270505006703759	0.1177685950413223	0.6735537190082644
g__Longicatena	g__Roseburia_D	-0.1085	0.004	3.5482537367306777	3.250214645379917	0.1177685950413223	0.1425619834710743
g__Longicatena	g__Rothia	0.0986	0.01	3.5482537367306777	4.05370153221366	0.1177685950413223	0.2603305785123967
g__Longicatena	g__Ruminiclostridium_E	0.0622	0.0839	3.5482537367306777	3.366299955668857	0.1177685950413223	0.1115702479338843
g__Longicatena	g__Ruminococcus_B	0.3135	0.001	3.5482537367306777	7.737947132127615	0.1177685950413223	0.8388429752066116
g__Longicatena	g__Ruminococcus_C	-0.0328	0.4326	3.5482537367306777	4.048462536450087	0.1177685950413223	0.2417355371900826
g__Longicatena	g__Ruminococcus_E	-0.0506	0.1958	3.5482537367306777	5.434585988920234	0.1177685950413223	0.2045454545454545
g__Longicatena	g__Ruthenibacterium	0.0919	0.022	3.5482537367306777	4.251172068521615	0.1177685950413223	0.493801652892562
g__Longicatena	g__Sarcina	0.0811	0.033	3.5482537367306777	4.978552208875173	0.1177685950413223	0.2128099173553719
g__Longicatena	g__Schaedlerella	0.0944	0.019	3.5482537367306777	4.029210216422679	0.1177685950413223	0.3822314049586777
g__Longicatena	g__Sellimonas	0.1721	0.002	3.5482537367306777	4.545463956753047	0.1177685950413223	0.2644628099173554
g__Longicatena	g__Streptococcus	0.1212	0.004	3.5482537367306777	7.600561164194048	0.1177685950413223	0.9648760330578512
g__Longicatena	g__Sutterella	-0.0839	0.044	3.5482537367306777	5.853451847111789	0.1177685950413223	0.4152892561983471
g__Longicatena	g__Terrisporobacter	0.0486	0.1938	3.5482537367306777	4.122901962417212	0.1177685950413223	0.2665289256198347
g__Longicatena	g__Thomasclavelia	0.277	0.001	3.5482537367306777	5.6451554268064745	0.1177685950413223	0.628099173553719
g__Longicatena	g__Turicibacter	0.0589	0.1069	3.5482537367306777	4.5880554893591485	0.1177685950413223	0.4297520661157025
g__Longicatena	g__Tyzzerella	0.1026	0.011	3.5482537367306777	3.784611288214841	0.1177685950413223	0.2148760330578512
g__Longicatena	g__UBA3402	-0.0967	0.009	3.5482537367306777	2.798412201319961	0.1177685950413223	0.1694214876033057
g__Longicatena	g__URXU01	-0.0122	0.7423	3.5482537367306777	5.865369354810628	0.1177685950413223	0.1384297520661157
g__Longicatena	g__Veillonella	0.1332	0.001	3.5482537367306777	6.826654795566198	0.1177685950413223	0.6363636363636364
g__Longicatena	g__Vescimonas	-0.1538	0.002	3.5482537367306777	4.145880095308725	0.1177685950413223	0.3347107438016529
g__Longicatena	g__Weissella	0.0171	0.6923	3.5482537367306777	4.862494013017426	0.1177685950413223	0.5020661157024794
g__Longicatena	g__Wujia	-0.0929	0.013	3.5482537367306777	4.1653377227471	0.1177685950413223	0.134297520661157
g__Massilioclostridium	g__Mediterraneibacter	-0.1439	0.001	1.7150045924056143	6.871054933424183	0.1136363636363636	0.7293388429752066
g__Massilioclostridium	g__Megamonas	0.0317	0.3546	1.7150045924056143	6.688185231996184	0.1136363636363636	0.2789256198347107
g__Massilioclostridium	g__Merdibacter	0.1928	0.001	1.7150045924056143	1.7684662207135164	0.1136363636363636	0.1033057851239669
g__Massilioclostridium	g__Merdimmobilis	0.0873	0.004	1.7150045924056143	2.184776283809652	0.1136363636363636	0.1756198347107438
g__Massilioclostridium	g__Merdimonas	0.1301	0.001	1.7150045924056143	2.788568608459656	0.1136363636363636	0.1198347107438016
g__Massilioclostridium	g__Merdivicinus	0.1353	0.001	1.7150045924056143	2.939216467024292	0.1136363636363636	0.1611570247933884
g__Massilioclostridium	g__Muricomes	0.1626	0.001	1.7150045924056143	2.15845278974671	0.1136363636363636	0.140495867768595
g__Massilioclostridium	g__Murimonas	-0.1737	0.001	1.7150045924056143	3.621229568488325	0.1136363636363636	0.3264462809917355
g__Massilioclostridium	g__Nanosynbacter	0.1085	0.004	1.7150045924056143	5.599543895257287	0.1136363636363636	0.3429752066115702
g__Massilioclostridium	g__Negativibacillus	0.0502	0.1369	1.7150045924056143	4.214735877207416	0.1136363636363636	0.2871900826446281
g__Massilioclostridium	g__Odoribacter	-0.1251	0.003	1.7150045924056143	6.157935194356419	0.1136363636363636	0.4979338842975206
g__Massilioclostridium	g__Oliverpabstia	-0.1608	0.001	1.7150045924056143	5.433649971067557	0.1136363636363636	0.3450413223140496
