#OTU ID	CT21	CT25	CT27	CT29	CT34	CT39	CT44	CT48	PD103	PD11	PD117	PD12	PD125	PD126	PD129	PD13	PD135	PD138	PD139	PD14	PD140	PD143	PD144	PD147	PD148	PD149	PD15	PD150	PD151	PD152	PD155	PD156	PD159	PD163	PD164	PD167	PD168	PD170	PD175	PD176	PD178	PD179	PD180	PD181	PD182	PD185	PD186	PD187	PD188	PD189	PD192	PD193	PD194	PD195	PD197	PD199	PD2	PD209	PD210	PD211	PD218	PD220	PD225	PD227	PD228	PD229	PD231	PD233	PD236	PD238	PD239	PD241	PD243	PD244	PD249	PD250	PD253	PD254	PD255	PD26	PD27	PD35	PD36	PD4	PD42	PD43	PD44	PD5	PD52	PD53	PD58	PD59	PD65	PD74	PD75	PD77	PD8	PD84	PD91	PV1	PV10	PV100	PV101	PV103	PV104	PV105	PV106	PV107	PV108	PV109	PV11	PV110	PV112	PV113	PV114	PV116	PV119	PV12	PV120	PV13	PV139	PV14	PV141	PV147	PV149	PV15	PV151	PV156	PV157	PV159	PV16	PV160	PV161	PV18	PV19	PV20	PV24	PV25	PV27	PV29	PV3	PV30	PV32	PV33	PV34	PV35	PV38	PV40	PV41	PV43	PV47	PV49	PV5	PV50	PV52	PV56	PV59	PV6	PV63	PV64	PV65	PV67	PV68	PV73	PV75	PV76	PV77	PV78	PV81	PV82	PV84	PV85	PV89	PV9	PV90	PV91	PV92	PV93	PV94	PV95	PV96	PV97	PV99
g__Faecalibacterium	1933	3029	6577	1433	6037	3653	2113	2672	781	4893	1307	29	8020	4939	10551	15	4693	14	1406	382	14	4528	5961	6	1851	510	767	7228	0	10	8	4032	5523	15869	573	5607	399	3504	22	1422	5593	8974	4888	660	1892	2069	2088	29	2459	1734	4946	201	17	2608	1840	3253	3933	571	1635	0	1482	6	0	9	10684	1543	8482	6603	16	11400	14	9	8068	2266	3463	6776	20	3901	5523	7922	28	1316	0	45	9792	16	13	6068	1299	7	11200	6433	3284	14	14342	1760	15	240	12	215	4920	17	2111	8538	346	0	2919	216	69	93	180	98	538	0	0	209	3946	3865	1394	1577	5289	1346	3964	4373	1034	1467	0	3141	831	360	13	1505	11904	1988	0	1385	493	601	201	11609	295	2552	1014	2348	9342	857	5202	4526	7919	5171	0	2651	4178	1867	3131	1238	2522	3634	3970	70	4548	3340	1394	1702	160	451	22	497	0	3848	2541	0	2416	0	0	6	3266	2794	1288	28	386	602	30
g__Faecalimonas	0	0	82	0	0	0	0	0	0	9	0	208	0	0	1412	479	0	246	0	0	127	7	0	863	39	175	191	0	4124	0	292	11	0	0	0	268	0	654	176	0	35	11	0	154	0	0	0	593	0	0	0	267	363	0	0	0	11	26	140	0	0	94	1292	180	0	23	0	70	505	218	0	586	98	0	78	152	280	9	3021	0	12	0	0	191	386	0	1767	0	376	0	0	25	0	4339	0	73	118	23	2939	314	0	739	0	568	187	147	0	57	150	48	290	622	68	302	249	9	0	350	1689	67	0	161	0	33	0	0	1011	0	0	44	388	0	0	120	122	0	27	55	9	224	640	200	180	1285	0	0	155	0	0	21	604	13	0	0	0	0	0	0	0	41	0	0	0	45	0	1043	0	132	528	0	0	477	0	125	244	0	0	0	29	0	0	0	27
g__Faecousia	0	0	0	0	97	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	72	0	0	61	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	7	80	0	0	0	5	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Finegoldia	0	0	0	0	0	0	0	0	86	0	3875	0	0	0	0	0	0	0	7	0	25	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	0	8	0	0	0	0	137	366	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	2605	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
g__Flavonifractor	8	7	74	10	179	74	0	7	154	5	293	310	323	0	404	151	58	255	302	5	18	236	0	26	0	0	161	0	32	0	601	4	23	34	50	23	29	161	28	27	188	147	134	62	12	210	108	9	2	20	61	32	0	11	19	0	79	6	83	41	87	236	14	0	579	120	220	202	226	16	373	44	32	0	57	141	426	16	11	118	0	0	0	0	457	431	0	17	37	127	15	3339	423	737	0	12	0	31	430	44	73	34	5	230	52	16	22	55	169	0	136	218	0	1186	162	77	0	80	1631	103	48	81	138	1196	47	50	97	22	9	26	210	23	37	0	42	173	442	105	59	239	105	103	31	0	7	123	27	115	18	135	79	142	37	119	5	12	0	4	97	1628	5	146	0	11	0	104	70	63	0	9	37	481	5	205	26	399	26	0	29	489	34	42	10
g__Fusicatenibacter	1122	510	816	1319	1113	349	566	559	0	194	35	7	0	252	25	0	1357	8	0	188	836	55	656	0	256	516	1549	406	4	0	0	247	0	4	1486	0	189	334	8	21	1208	11	821	896	0	132	919	6	3	0	240	123	6	669	121	476	2100	82	0	0	0	680	0	352	174	0	9	0	5	0	712	208	489	229	4	5	0	795	9	405	5	7	0	8	0	10	6	228	550	28	6	1773	752	7	1151	0	485	28	0	0	0	85	371	0	390	0	1043	0	18	194	428	612	7	512	798	1221	10	498	49	554	1709	754	472	165	205	949	476	375	317	146	0	377	2236	1347	208	0	189	1647	632	65	1115	532	1702	1242	506	370	751	664	749	242	0	518	675	431	1186	504	374	1167	438	14	691	604	545	328	228	0	0	662	759	635	1324	3	895	0	177	0	1409	752	20	14	317	1087	6
g__Fusobacterium_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	331	0	0	0	0	0	0	0	0	14	0	127	0	3	0	0	0	0	0	0	0	0	0	0	3070	0	0	36	0	0	0	0	6	0	0	0	117	0	0	0	0	0	0	0	447	0	0	249	0	0	0	119	0	0	0	0	1374	37	0	83	0	0	0	199	0	7	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	27	18	0	12	0	476	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	1964	0	0	0	0	0	0	0	0	328	0	6	0	0	0	0	0	0	0	0	0	0	0	0
g__Gallintestinimicrobium	68	15	143	79	0	0	41	114	0	6	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	24	0	0	0	0	19	0	42	9	11	44	0	9	0	61	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	44	0	0	0	0	17	138	0	0	0	66	45	0	0	109	0	84	0	0	18	0	56	0	0	0	8	141	0	0	20	0	29	0	0	0	0	0	49	4	0	0	83	96	0	0	0	40	0	79	0	121	117	0	0	32	86	0	43	28	0	0	0	0	63	0	0	12	0	0	0	0	40	0	0	0	0	0
g__Gemella	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	11	0	0	4	0	0	0	7	8	0	0	15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	14	0	0	0	0	0	9	0	6	9	0	13	0	3	0	13	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	7	22	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	4	4	6	0	3	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0
g__Gemmiger	786	366	492	1417	0	0	269	165	0	332	157	0	624	708	16	0	0	5	143	60	0	200	0	0	0	0	66	79	3	0	0	81	0	220	893	4	279	0	0	0	0	0	641	0	0	862	1292	10	173	381	627	532	0	0	106	236	643	17	0	0	0	0	0	0	160	2	7	0	0	0	0	0	415	0	0	2312	3	4	15	0	0	49	0	407	0	0	0	91	0	0	0	1983	6	5	11	0	0	7	4	0	3600	0	287	0	0	3	1075	0	39	8	220	335	0	133	0	0	315	1450	0	302	3	915	2014	4619	0	825	0	371	154	114	0	1049	196	917	4	317	0	603	2562	0	112	123	0	0	439	0	3	1013	1464	67	0	723	371	1185	976	181	1470	937	15	0	445	1091	1517	476	105	676	500	1388	0	433	0	0	105	93	0	0	797	242	7	11	0	73	0
