source	target	correlation	p_value
g__Gemella	g__Leuconostoc	0.2942	0.0623895348837209
g__Gemella	g__Peptostreptococcus	0.2863	0.0905569620253164
g__Gemella	g__Rothia	0.4462	0.0623895348837209
g__Gemella	g__Streptococcus	0.4913	0.0623895348837209
g__Gemmiger	g__Hominenteromicrobium	0.3314	0.0623895348837209
g__Gemmiger	g__Hungatella	-0.2771	0.0623895348837209
g__Gemmiger	g__Limivivens	0.2783	0.0905569620253164
g__Gemmiger	g__Odoribacter	0.3113	0.0905569620253164
g__Gordonibacter	g__Ruminococcus_E	0.2118	0.0623895348837209
g__Granulicatella	g__Latilactobacillus	0.2871	0.0623895348837209
g__Granulicatella	g__Leuconostoc	0.2981	0.0623895348837209
g__Granulicatella	g__Pauljensenia	0.3081	0.0623895348837209
g__Granulicatella	g__Peptostreptococcus	0.3818	0.0623895348837209
g__Granulicatella	g__Rothia	0.5184	0.0623895348837209
g__Granulicatella	g__Streptococcus	0.5769	0.0623895348837209
g__Haemophilus_D	g__Nanosynbacter	0.4172	0.0623895348837209
g__Haemophilus_D	g__Parabacteroides	-0.3215	0.0623895348837209
g__Haemophilus_D	g__Peptostreptococcus	0.2942	0.0623895348837209
g__Haemophilus_D	g__Rothia	0.2836	0.0623895348837209
g__Haemophilus_D	g__Streptococcus	0.485	0.0623895348837209
g__Haemophilus_D	g__Veillonella	0.4757	0.0623895348837209
g__Holdemanella	g__Prevotella	0.2555	0.0905569620253164
g__Hominicoprocola	g__Hominiventricola	0.2272	0.0905569620253164
g__Hominicoprocola	g__Murimonas	0.2528	0.0623895348837209
g__Hominicoprocola	g__Prevotella	0.2863	0.0623895348837209
g__Hominicoprocola	g__Ruminococcus_B	-0.3254	0.0623895348837209
g__Hominilimicola	g__Lacticaseibacillus	-0.2932	0.0905569620253164
g__Hungatella	g__Otoolea	0.329	0.0623895348837209
g__Hungatella	g__Thomasclavelia	0.2907	0.0905569620253164
g__Intestinibacter	g__Odoribacter	-0.3274	0.0623895348837209
g__Intestinibacter	g__Sarcina	0.4305	0.0623895348837209
g__Intestinibacter	g__Thomasclavelia	0.4141	0.0623895348837209
g__Intestinibacter	g__Veillonella	0.3793	0.0623895348837209
g__Lachnospira	g__Roseburia	0.2849	0.0623895348837209
g__Lacticaseibacillus	g__Lactobacillus	0.3692	0.0905569620253164
g__Lacticaseibacillus	g__Limosilactobacillus	0.3822	0.0623895348837209
g__Lacticaseibacillus	g__Pediococcus	0.2771	0.0905569620253164
g__Lacticaseibacillus	g__Phocaeicola	-0.2944	0.0623895348837209
g__Lacticaseibacillus	g__Ruminiclostridium_E	0.2047	0.0623895348837209
g__Lacticaseibacillus	g__Streptococcus	0.3591	0.0905569620253164
g__Lactobacillus	g__Limosilactobacillus	0.4348	0.0623895348837209
g__Lactococcus	g__Weissella	0.2858	0.0905569620253164
g__Lancefieldella	g__Nanosynbacter	0.2994	0.0623895348837209
g__Latilactobacillus	g__Leuconostoc	0.4727	0.0623895348837209
g__Latilactobacillus	g__Rothia	0.4586	0.0623895348837209
g__Latilactobacillus	g__Weissella	0.3919	0.0623895348837209
g__Leuconostoc	g__Mediterraneibacter	-0.3043	0.0905569620253164
g__Leuconostoc	g__Rothia	0.3297	0.0623895348837209
g__Leuconostoc	g__Streptococcus	0.3174	0.0623895348837209
g__Leuconostoc	g__Terrisporobacter	0.2556	0.0905569620253164
g__Leuconostoc	g__Weissella	0.5196	0.0623895348837209
g__Limivivens	g__Thomasclavelia	-0.3079	0.0623895348837209
g__Limosilactobacillus	g__Ruminiclostridium_E	0.2192	0.0905569620253164
g__Massilioclostridium	g__Pararoseburia	0.2046	0.0623895348837209
g__Mediterraneibacter	g__Parabacteroides	0.4186	0.0623895348837209
g__Mediterraneibacter	g__Phocaeicola	0.2769	0.0905569620253164
g__Megamonas	g__Streptococcus	0.2685	0.0905569620253164
g__Murimonas	g__Negativibacillus	0.2797	0.0623895348837209
g__Nanosynbacter	g__Parabacteroides	-0.3072	0.0905569620253164
g__Nanosynbacter	g__Streptococcus	0.3464	0.0905569620253164
g__Nanosynbacter	g__Veillonella	0.4052	0.0623895348837209
g__Odoribacter	g__Oliverpabstia	0.3541	0.0623895348837209
g__Odoribacter	g__Ruminococcus_B	-0.3325	0.0623895348837209
g__Odoribacter	g__Thomasclavelia	-0.3374	0.0623895348837209
g__Odoribacter	g__Veillonella	-0.3072	0.0905569620253164
g__Otoolea	g__Ruthenibacterium	0.3113	0.0623895348837209
g__Parabacteroides	g__Peptostreptococcus	-0.2637	0.0623895348837209
g__Parabacteroides	g__Phocaeicola	0.4183	0.0623895348837209
g__Parabacteroides	g__Streptococcus	-0.322	0.0623895348837209
g__Parabacteroides	g__Veillonella	-0.3091	0.0905569620253164
g__Paraprevotella	g__Prevotella	0.2334	0.0623895348837209
g__Pauljensenia	g__Rothia	0.3147	0.0623895348837209
g__Pauljensenia	g__Streptococcus	0.3358	0.0623895348837209
g__Pauljensenia	g__URXU01	0.2195	0.0905569620253164
g__Peptostreptococcus	g__Streptococcus	0.3865	0.0623895348837209
g__Phascolarctobacterium	g__Phocaeicola	0.3062	0.0905569620253164
g__Rothia	g__Streptococcus	0.5122	0.0623895348837209
g__Ruminococcus_B	g__Ruminococcus_C	-0.2793	0.0905569620253164
g__Ruminococcus_B	g__Thomasclavelia	0.487	0.0623895348837209
g__Sarcina	g__Veillonella	0.4071	0.0623895348837209
g__Terrisporobacter	g__Turicibacter	0.4643	0.0623895348837209
