#OTU ID	CT43	CT46	CT5	CT50	CT51	CT55	CT56	PD10	PD104	PD110	PD114	PD115	PD116	PD119	PD121	PD123	PD124	PD130	PD132	PD133	PD136	PD142	PD145	PD153	PD154	PD162	PD17	PD171	PD173	PD18	PD183	PD19	PD20	PD201	PD202	PD203	PD206	PD21	PD216	PD226	PD23	PD230	PD237	PD242	PD245	PD247	PD248	PD25	PD251	PD252	PD257	PD258	PD259	PD260	PD261	PD28	PD29	PD3	PD30	PD32	PD37	PD38	PD41	PD46	PD47	PD48	PD50	PD54	PD55	PD60	PD67	PD68	PD69	PD7	PD81	PD82	PD83	PD85	PD88	PD9	PD90	PD92	PD95	PD96	PD97	PV126	PV128	PV129	PV130	PV137	PV143	PV153	PV4	PV44	PV45
g__Butyribacter	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__CAG-170	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__CAG-177	0	15	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__CAG-217	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	254	5	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	38	0	0	0
g__CAG-488	71	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0	0	0	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0
g__Catenibacterium	418	52	0	0	239	0	0	0	0	0	1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	62	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	246	0	0	0
g__Choladousia	88	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	16	0	40	6	0	0	0
g__Clostridium	293	54	0	57	20	156	0	0	1283	0	0	615	829	568	35	326	741	0	0	0	6	263	171	2443	19	129	0	18	50	8	0	35	84	51	168	170	12	73	9	0	0	19	145	0	552	19	4	114	0	253	0	25	7	116	0	0	739	8	0	12	0	16	0	0	0	26	0	133	65	383	79	1169	80	0	563	2861	527	779	690	63	0	0	0	0	0	220	43	15	6	0	43	40	8	50	8
g__Clostridium_A	9	15	76	23	71	0	24	0	0	14	24	0	0	0	15	0	109	6	48	0	0	30	44	0	87	0	190	4	0	67	0	104	0	27	36	19	39	0	0	0	19	64	14	0	69	0	28	0	0	0	9	0	9	0	0	29	67	27	0	0	0	11	0	0	169	0	0	0	0	0	0	31	76	13	304	0	0	0	25	8	0	34	0	0	5	35	0	31	7	8	4	0	121	22	59
g__Clostridium_AP	0	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	86	0	0	39	24	0	0	101	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	59	17	0	0	0	0	0	0
g__Collinsella	635	4844	18992	0	182	0	0	0	34	0	6	11310	0	4	18	20	5	8492	22298	34	0	3	0	0	10	25	0	8	3	2922	0	9	20634	0	2624	2220	0	22369	0	0	8396	0	2704	20	4	5	4	21	3	2	8	5	3173	0	99	22	1912	0	3155	17	0	1040	14	53	204	0	0	0	0	6	5	6	5509	10589	0	0	0	0	9259	13591	9	3998	10	13	0	20074	0	6	0	0	417	464	6	0	5
g__Coprococcus_A	111	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	125	0	0	156	64	63	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	890	0	0	0	0	0	0	0	90	0	0	0	87	14	0	0	0
