#SampleID	faith_pd
PD185	14.05161412698923
PD186	13.43892744676335
PD187	9.718048294014464
PD188	10.57511284474009
PD189	10.00515070886336
PD19	10.1018052224599
PD190	15.72385345099543
PD191	8.397276206448264
PD192	12.63289098930722
PD193	10.34463789658731
PD194	9.822829998518275
PD195	11.5329719502863
PD196	22.31225785777705
PD197	11.27519827842536
PD198	21.24440750491901
PD199	13.17358292546773
PD2	13.43818499097312
PD20	10.38870735625917
PD200	11.09360222567956
PD201	12.60567014991073
PD202	16.22880593013943
PD203	9.085606598851395
PD204	10.18543786474726
PD205	11.84752879932073
PD206	9.152474167149579
PD207	13.06125082862038
PD208	10.7183773889913
PD209	8.969171073911784
PD21	9.809109989784098
PD210	9.090763499431286
PD211	10.47834878425285
PD212	16.92786427152159
PD213	10.89664607289733
PD214	9.598556736544719
PD215	13.27916799222524
PD216	11.10062349332783
PD217	10.81013328368333
PD218	16.41048023684354
PD219	10.13842945079075
PD220	13.8246739131875
PD221	12.52213661650657
PD222	16.31880022417421
PD223	15.40262454480775
PD224	13.71399207311918
PD225	9.731595827872724
PD226	6.396625500270472
PD227	13.61509809915551
PD228	15.06268133421681
PD229	12.90514216615593
PD23	9.376529551086938
PD230	11.70434502438147
PD231	17.17463198498676
PD232	12.92539639329473
PD233	17.30788186541069
PD234	13.63112317200083
PD235	11.09512304046623
PD236	11.15449244036622
PD237	16.67462893227047
PD238	18.24760466145756
PD239	13.45754509628638
PD24	12.91527474294091
PD240	13.34196746775383
PD241	9.695787728362465
PD242	9.536510728604426
PD243	14.8855272286842
PD244	11.12173508440876
PD245	9.889786026898065
PD246	15.89120702160118
PD247	10.71583317097726
PD248	10.39276547892413
PD249	12.44670192951924
PD25	9.830715138716059
PD250	15.67473904704913
PD251	9.09067267884587
PD252	10.42557442819382
PD253	8.860933870200279
PD254	11.40497463440884
PD255	12.04048717576478
PD256	14.56294608812313
PD257	11.13755492030538
PD258	11.11224992843969
PD259	13.31659436208621
PD26	11.67443307682884
PD260	13.20097153393773
PD261	10.04453688986072
PD27	9.701860270821806
PD28	10.99776499823005
PD29	9.487160863151329
PD3	9.363917423210747
PD30	25.13394569832593
PD31	11.76548029183727
PD32	7.582716141872167
PD33	10.46018426418772
PD34	12.98132093373556
PD35	11.41054935863541
PD36	7.461889556380028
PD37	8.930590872384345
PD38	11.66070922984222
PD39	18.83544676396474
PD4	11.63287281136411
PD40	13.1445232733284
PD41	4.088116558576836
PD42	11.23873500873422
PD43	11.57861199518492
PD44	8.378309589287149
PD45	23.15689236732794
PD46	16.46587931856923
PD47	18.46861093003808
PD48	10.74772810796127
PD49	12.81582569259663
PD5	16.40078766743214
PD50	5.857892043856822
PD51	12.67230451279532
PD52	10.0620377460225
PD53	12.49682642026508
PD54	10.5895229246542
PD55	7.685171867371922
PD56	12.06922060563322
PD57	11.71293731276444
PD58	11.23013979222758
PD59	13.24400952261153
PD6	11.71975415018777
PD60	11.08829020557555
PD61	11.73177483617033
PD62	8.006494965925691
PD63	12.29279031211319
PD64	13.324212077903
PD65	15.29995379207093
PD66	22.80763431218748
PD67	11.43404869262591
PD68	9.679292434862631
PD69	17.19778157231648
PD7	12.3727240293819
PD70	13.53255741371801
PD71	19.12283069333019
PD72	12.86008262230621
PD73	11.52818587430131
PD74	10.75075328955428
PD75	14.53910252945872
PD76	11.41522116060347
PD77	11.96118465657356
PD78	12.83519116043748
PD79	12.21942537069846
PD8	10.88936763662002
PD80	22.93770984495731
PD81	14.04483838179952
PD82	7.209108262632052
PD83	10.4789272250865
PD84	11.39089653020548
PD85	12.42616582959549
PD86	13.6551717997786
PD87	15.3479515040742
PD88	10.0748743676065
PD89	14.0310551456097
PD9	9.057754464154453
PD90	8.191914286361991
PD91	10.80458673564677
PD92	13.83432723678208
PD93	20.68049331711978
PD94	9.508755093152605
PD95	7.762867976235112
PD96	6.407249727402322
PD97	12.16225962840898
PD98	10.76312766853107
PD99	15.20150478853455
PV1	11.24815902771844
PV10	13.28698207829288
PV100	9.840237476936929
PV101	12.19998207499106
PV102	10.5252066033102
PV103	14.60999322576116
PV104	9.754877022019766
PV105	12.71095911404235
PV106	13.86370843854961
PV107	12.47738780619509
PV108	14.56994114783803
PV109	11.18425116831742
PV11	13.92248079912375
PV110	13.60892761300632
PV111	17.88528566633958
PV112	14.65111224106862
PV113	10.83079338739885
PV114	14.44029711765922
PV115	15.25591761415209
PV116	13.86864187745999
PV117	16.15516851706738
PV118	14.81899265362416
PV119	11.42122832702274
PV12	16.38644756721617
PV120	15.1287922132939
PV121	19.79852118459213
PV122	22.17847814007251
PV123	13.63564518674805
PV124	15.26721123946077
PV125	15.6392769582454
PV126	11.82394233722185
PV127	18.2320103841573
PV128	12.59048356764342
PV129	16.11570680067901
PV13	12.6958054711271
PV130	13.03265048625886
PV131	11.24538085322619
PV132	13.91321997474557
PV133	11.47942800447784
PV134	12.61972535560108
PV135	13.0393511746638
PV136	12.60160661365713
PV137	11.39092876738367
PV138	18.47354303199707
PV139	12.012982482496
PV14	19.26892352904294
PV140	19.53659691372248
PV141	13.90855505662843
PV142	17.58278437030789
PV143	22.49811465490587
PV144	16.21401606129011
PV145	20.56692219872373
PV146	19.31458031347223
PV147	16.35177781964231
PV148	14.15190091032635
PV149	9.442096416072369
PV15	19.48686254335921
PV150	14.00558346648421
PV151	12.20587740064932
PV152	16.99421899593079
PV153	12.27923975188762
PV154	13.76981055950023
PV155	18.98652563936276
PV156	15.75198266699933
PV157	12.05963328414035
PV158	16.13632473680018
PV159	11.30850349004898
PV16	8.679054317831596
PV160	15.80997300688835
PV161	15.90738584336745
PV162	16.77359317717737
PV163	14.57179892591351
PV164	16.59860161133568
PV165	15.74972204187825
PV166	14.21143878855677
PV17	10.75458699373257
PV18	10.52073845226312
PV19	11.27570748040097
PV2	15.89671699055808
PV20	12.85084836134752
PV21	17.34985594320148
PV22	17.82542920189534
PV23	12.94814354583719
PV24	14.28659018662915
PV25	11.47681492561281
PV26	15.36012270915368
PV27	12.63662458921177
PV28	13.71445657689561
PV29	13.24340949903702
PV3	15.95266945680215
PV30	12.637688514271
PV31	15.33436426035273
PV32	13.76853247940094
PV33	11.5289535848193
PV34	10.56401983214532
