	simpson_e
PD232	0.1541204883153552
PD233	0.1527755124564292
PD234	0.09237630408275106
PD235	0.21573654873989145
PD236	0.1541397492807847
PD237	0.1156044345491159
PD238	0.04652842661668695
PD239	0.16248406681240835
PD24	0.08406056863225578
PD240	0.09314477135626298
PD241	0.09737372356437293
PD242	0.15780526955980534
PD243	0.0722747643698132
PD244	0.15596750531818782
PD245	0.039857001337571474
PD246	0.10232468421251767
PD247	0.05239651466977445
PD248	0.07559195127260576
PD249	0.06837559626887445
PD25	0.10270273756611847
PD250	0.09955309005115974
PD251	0.06639575252029645
PD252	0.057928292964370735
PD253	0.1561704331164576
PD254	0.09733577234975628
PD255	0.07753797850119047
PD256	0.07397810967020987
PD257	0.14308101763741102
PD258	0.05913135800924244
PD259	0.11839201761237542
PD26	0.08192699676372141
PD260	0.11869443837671882
PD261	0.030894971592506155
PD27	0.07049380941694092
PD28	0.11517048687171619
PD29	0.12372971036903971
PD3	0.15098826196113155
PD30	0.014430654047411038
PD31	0.13972465970338577
PD32	0.03318550894832017
PD33	0.22758491170297152
PD34	0.08997597623439348
PD35	0.057281753546066475
PD36	0.05308354763825059
PD37	0.13489951308290551
PD38	0.07543058713385846
PD39	0.08562920766513207
PD4	0.11153402284469299
PD40	0.14174037047814556
PD41	0.06184381531951504
PD42	0.08076138956515648
PD43	0.05664743678789003
PD44	0.1111077349174061
PD45	0.09951479273959575
PD46	0.04742330818550229
PD47	0.03831373157105105
PD48	0.10366832611182539
PD49	0.11586819575607242
PD5	0.1734275500929176
PD50	0.05773500823793119
PD51	0.12177255481976358
PD52	0.06981358376862104
PD53	0.11971196057281791
PD54	0.06295566333307699
PD55	0.05881718054690311
PD56	0.05505466879061708
PD57	0.08717682105300423
PD58	0.11405997200329551
PD59	0.10237831710456821
PD6	0.04535587794779688
PD60	0.054759976934309194
PD61	0.11558407989822574
PD62	0.12244002397865429
PD63	0.13922877184624038
PD64	0.16126017421078528
PD65	0.0935514933202026
PD66	0.1931257880014965
PD67	0.05773958213062986
PD68	0.10106875437304286
PD69	0.07079350343933316
PD7	0.04114962790169152
PD70	0.14557929431054342
PD71	0.1530734967669056
PD72	0.16176348285526757
PD73	0.1327046755434912
PD74	0.2122739119386941
PD75	0.13761858373170427
PD76	0.09228055852977847
PD77	0.06240393974343473
PD78	0.07715403574861264
PD79	0.07280310444085833
PD8	0.15047506965761834
PD80	0.1399996178570431
PD81	0.13150237491974082
PD82	0.11135583262787185
PD83	0.1491388721521932
PD84	0.09236371530606417
PD85	0.1762326060048025
PD86	0.16010139721001673
PD87	0.19366805246228946
PD88	0.159667380912084
PD89	0.08883476774773592
PD9	0.04641470997713237
PD90	0.061703950241974
PD91	0.1589337634767567
PD92	0.05834072109663343
PD93	0.16979753627034985
PD94	0.1451841081126818
PD95	0.11528010014022626
PD96	0.11953905406044943
PD97	0.11386751806229768
PD98	0.1511594339739462
PD99	0.21323239559952134
PV1	0.08515453333782949
PV10	0.153096442920502
PV100	0.13958174241552868
PV101	0.18874349784312233
PV102	0.16979090073991343
PV103	0.11852932530244369
PV104	0.08311137194784084
PV105	0.0917973406706972
PV106	0.20389143107521535
PV107	0.1822723754141338
PV108	0.13328072476565384
PV109	0.09409795282225242
PV11	0.07176466174286451
PV110	0.07825855678668614
PV111	0.0835075287857675
PV112	0.20547492372524262
PV113	0.09928302288465336
PV114	0.07009337671421764
PV115	0.11821123906784235
PV116	0.10565828875328376
PV117	0.10047373446177718
PV118	0.13715383797694533
PV119	0.10576966678434177
PV12	0.11209230060248691
PV120	0.054398222492385566
PV121	0.09222041864905065
PV122	0.19863763425088388
PV123	0.13430673266005264
PV124	0.12441331284952739
PV125	0.19219088312410373
PV126	0.07897749293088256
PV127	0.07531017546341556
PV128	0.05532993116226209
PV129	0.12479542909285953
PV13	0.14476936374278676
PV130	0.07700446756511455
PV131	0.20017114232326352
PV132	0.12511372086544342
PV133	0.1393332038983602
PV134	0.16653840101072026
PV135	0.1583224748391706
PV136	0.19853733574013532
PV137	0.13690632632031408
PV138	0.22311484820747213
PV139	0.1771917076208679
PV14	0.184240889214332
PV140	0.19246915319977964
PV141	0.1755875298340333
PV142	0.13502830584872672
PV143	0.10254448343800972
PV144	0.11752292254048192
PV145	0.12153030965922902
PV146	0.16861875929831288
PV147	0.0934390477553387
PV148	0.19238095097382313
PV149	0.10306322136074307
PV15	0.09582387039074869
PV150	0.1214137280452837
PV151	0.12695295378708088
PV152	0.12551775824239472
PV153	0.16699564809341066
PV154	0.0942979742509348
PV155	0.3243676388008051
PV156	0.20809772508898758
PV157	0.19086457698660897
PV158	0.08318786147215905
PV159	0.059625338769858836
PV16	0.09994041352664715
PV160	0.1712859859266912
PV161	0.1110750971089587
PV162	0.2314218410731242
PV163	0.1392426138630158
PV164	0.1970775682724981
PV165	0.14736378160645125
PV166	0.11027982400337022
PV17	0.09109744398427279
PV18	0.19789908353923907
PV19	0.1983317224037513
PV2	0.15686211026785177
PV20	0.22186574609066348
PV21	0.22263533841925065
PV22	0.16075693366758986
PV23	0.1674101350765416
PV24	0.10299046470815755
PV25	0.09753763756510889
PV26	0.10690471604467501
PV27	0.16990681684906905
PV28	0.06792383690386936
PV29	0.1403702335093927
PV3	0.046824858814458324
PV30	0.13680477979265138
PV31	0.1917230608546787
PV32	0.12728043583875961
PV33	0.22523672041460494
PV34	0.14769439377336974
PV35	0.07585581593519511
PV36	0.20452053371842094
PV37	0.2144532279911628
PV38	0.08360321789722042
PV39	0.11371255104556414
PV4	0.11980615373909506
PV40	0.09093197402301924
PV41	0.14162637806927095
PV42	0.15678452253296182
PV43	0.16699944646363474
PV44	0.08497946892631561
PV45	0.09907224489771252
PV46	0.11720755778430468
PV47	0.13579618361664672
PV48	0.20590495718737648
PV49	0.12276127023345117
PV5	0.11483653461418328
PV50	0.06009876438623187
PV51	0.1416449237459369
PV52	0.10179345407828554
PV53	0.09876766029718173
PV54	0.055647861755397106
PV55	0.10613375025727086
PV56	0.1094385352256161
PV57	0.15946561210824178
PV58	0.15707894486177176
PV59	0.193138287226106
PV6	0.08045007245977126
PV60	0.19468542433214567
PV61	0.19978531469653343
PV62	0.14298061274398785
PV63	0.08021441119598098
PV64	0.06289348712733087
PV65	0.16175846357566753
PV66	0.31997372836504834
PV67	0.15200816004124407
PV68	0.09077168106836846
PV69	0.1439742364899385
PV7	0.23430643607914237
PV70	0.15636708278511816
PV71	0.11482639358512892
PV72	0.1132744237911867
PV73	0.11384790857521117
PV74	0.2435967737926353
PV75	0.08023075662133322
PV76	0.14704692743298245
PV77	0.1580064905084537
PV78	0.14852614123654947
PV79	0.06004248726483835
PV8	0.18927195003744424
PV80	0.18709127245481613
PV81	0.13880949294358055
PV82	0.10075309391190242
PV83	0.27812556761951784
PV84	0.15302963480089773
PV85	0.08991928039714799
PV86	0.10458101840460267
PV87	0.18074441800868554
PV88	0.15905291243458017
PV89	0.20909397364822102
PV9	0.11645863300032058
PV90	0.26531673511838433
PV91	0.0732227001793297
PV92	0.15033247093307392
PV93	0.19013590009091613
PV94	0.1290764458451614
PV95	0.06537708603637074
PV96	0.14590143039427933
PV97	0.11394795431744469
PV98	0.09846404401698816
PV99	0.05324379515978974
