	shannon_entropy
PD60	4.173407003436023
PD61	4.816297350070885
PD62	3.9329148713184563
PD63	5.7944450646439165
PD64	5.541777460120429
PD65	5.456039763453352
PD66	6.600307229206769
PD67	3.717678889730082
PD68	4.599034884694475
PD69	5.63793738775486
PD7	4.187355728245306
PD70	5.52860028924957
PD71	6.31012628735712
PD72	5.352343564071509
PD73	5.151814940217735
PD74	5.09107644651707
PD75	5.916404393935541
PD76	4.494969311278405
PD77	3.7160285942984332
PD78	4.858560819148615
PD79	4.2849532380007425
PD8	4.824512153516883
PD80	6.322792248301572
PD81	5.63421434675139
PD82	3.8663890653808046
PD83	4.463422149503989
PD84	3.6413339471373565
PD85	5.678110468620794
PD86	5.487963622913284
PD87	6.102456884619624
PD88	4.770585655091049
PD89	5.408632480026613
PD9	2.7282481453779828
PD90	3.914176862671632
PD91	4.842151007012907
PD92	4.675371757462052
PD93	6.577112534132215
PD94	4.766807227933398
PD95	4.36793022812605
PD96	2.373400071576157
PD97	4.862867162223362
PD98	5.308226169157977
PD99	6.344506079025155
PV1	3.5164241407301713
PV10	5.6378670184732345
PV100	4.545255387717461
PV101	5.714567640072255
PV102	5.4601245142909285
PV103	5.434232477139171
PV104	3.9570948760750917
PV105	4.940406661154483
PV106	5.618752734962578
PV107	5.639864373045702
PV108	5.125417585973233
PV109	4.257474842687603
PV11	4.474262326980166
PV110	5.108466127126295
PV111	5.555524806087474
PV112	5.7612731260199554
PV113	4.623471421836962
PV114	4.557884369455623
PV115	5.539793311591914
PV116	5.283123590743621
PV117	5.226226372796733
PV118	5.115784008550364
PV119	4.782527615430843
PV12	5.853175385517943
PV120	4.59453085001925
PV121	6.2152596840682595
PV122	6.664512407244498
PV123	5.534718493887379
PV124	5.489706991160828
PV125	6.149225841447797
PV126	4.131624754593401
PV127	5.692562694547765
PV128	4.746150882661337
PV129	5.463099770734447
PV13	5.344247317608029
PV130	4.4061343337124095
PV131	4.9191982358705015
PV132	5.619921636828794
PV133	5.047412487917088
PV134	5.193884295674277
PV135	5.431243072680928
PV136	5.675395558175247
PV137	4.6309930521316485
PV138	6.341041010035017
PV139	5.475369847456632
PV14	6.351669064104736
PV140	6.57627997967965
PV141	5.745653097938564
PV142	6.027346950155329
PV143	5.986246440003281
PV144	5.695441301742407
PV145	6.315115701967218
PV146	6.407570071519606
PV147	5.778996011873626
PV148	6.0740761017219285
PV149	4.243052528358462
PV15	5.843333087148888
PV150	5.152302823014779
PV151	5.0396870884359855
PV152	5.836438890821842
PV153	5.286113682488389
PV154	4.8642927033730965
PV155	6.797736737581612
PV156	5.987035549939171
PV157	5.494622344933419
PV158	5.490316307304199
PV159	4.104619404909134
PV16	3.7959014382730665
PV160	5.8732306665821765
PV161	5.768726040433172
PV162	6.283446952331637
PV163	5.591269999409447
PV164	5.93914400178765
PV165	5.417544331633821
PV166	5.168355189782479
PV17	4.4926655354132725
PV18	5.102317960737776
PV19	5.129899309302142
PV2	5.897668898725677
PV20	5.940916083047777
PV21	6.4116933864978245
PV22	6.223885536264611
PV23	5.56085779406617
PV24	5.185071739545869
PV25	5.125635760143248
PV26	5.469873649972868
PV27	5.382812683596672
PV28	4.946996168924878
PV29	5.070664271736904
PV3	4.132316256823671
PV30	5.030977677786405
PV31	6.075770659851682
PV32	5.097406271017726
PV33	5.580544754473472
PV34	4.888327125708723
PV35	5.8145928694558995
PV36	6.059561512436109
PV37	6.063540352746257
PV38	5.058025919131879
PV39	5.316714988800411
PV4	4.966218175444361
PV40	4.784300447937971
PV41	5.894218699584934
PV42	5.626555153830475
PV43	5.74838413077589
PV44	4.374776503831797
PV45	4.463948721149274
PV46	5.493014276444102
PV47	5.418708588653807
PV48	6.350675129440609
PV49	5.833351990710495
PV5	6.232650276757994
PV50	4.626808333165382
PV51	4.79800906105217
PV52	5.521231514980007
PV53	5.373359829078265
PV54	5.395252230241565
PV55	5.1254069243522755
PV56	4.993669042343978
PV57	5.920666850513441
PV58	5.633064826382263
PV59	5.991529690763377
PV6	5.940519570651422
PV60	6.765961050148207
PV61	6.1217033069688815
PV62	6.309430338002255
PV63	5.3060588623233444
PV64	4.3975063726634795
PV65	5.632924602579114
PV66	5.599781410506406
PV67	5.79458242543902
PV68	4.412226517731638
PV69	4.822014692876185
PV7	5.784615852104514
PV70	6.087078574319256
PV71	5.645590543547376
PV72	5.653836143555653
PV73	5.438468097714739
PV74	6.087410284174566
PV75	3.8108438955179422
PV76	5.394496936457165
PV77	5.572571698430348
PV78	5.104631429882547
PV79	3.620467672219871
PV8	5.75796351768352
PV80	6.376063797878264
PV81	4.594663824838321
PV82	5.299855934486647
PV83	6.815537465491046
PV84	5.610635535750585
PV85	4.300767636280679
PV86	6.223581226535901
PV87	6.179759097963238
PV88	5.244831897649722
PV89	6.088530964588286
PV9	4.44856043238137
PV90	5.903532942099943
PV91	2.623774636140875
PV92	5.451400824855764
PV93	5.57864303544303
PV94	5.0783034702559835
PV95	3.9816405058094704
PV96	5.89815278846797
PV97	4.718074792929179
PV98	4.957369326892276
PV99	4.02953319282107
