	statistic	p-value	adjusted-p
PWY-5898	10.136014313187843	0.006294952503723723	0.018836804438623657
PWY-5861	10.081432271179892	0.0064691138963536305	0.019211307934625933
PWY-6700	10.016058249800153	0.006684063788048511	0.01970039853319561
PWY-6163	9.80564122116084	0.0074256087540222945	0.021722676355050295
PWY-5840	9.778433258901941	0.007527316844283208	0.021857097799696423
GLYCOL-GLYOXDEG-PWY	9.668878300119697	0.007951146474694566	0.02291801042706081
ARGSYN-PWY	9.590113272394092	0.00827053040311648	0.023664583343223793
PWY-5920	9.56459476486558	0.008376732286898673	0.023794775771480287
NONMEVIPP-PWY	9.400897358698785	0.009091197154045858	0.02474723893493576
PWY-6143	9.405484966390294	0.00907036762960597	0.02474723893493576
PWY-7560	9.400897358698785	0.009091197154045858	0.02474723893493576
PWY-7400	9.400245741953313	0.00909415962476952	0.02474723893493576
PWY-7315	9.397379445182196	0.009107202248729131	0.02474723893493576
PWY-6467	9.387138903489634	0.009153953177463483	0.02474723893493576
COMPLETE-ARO-PWY	9.40410055008897	0.009076648385553126	0.02474723893493576
PWY0-1415	9.367592068333124	0.00924385720352034	0.02481912345054776
PWY1G-0	9.324505115340834	0.009445162647684066	0.025187100393824175
PWY-1541	9.30263875359824	0.00954899489333894	0.02529193242019503
PWY-7222	9.248436736909753	0.009811320877396846	0.025640251892930427
PWY-7220	9.248436736909753	0.009811320877396846	0.025640251892930427
PWY-7094	9.227725755183606	0.00991344980603294	0.025735578304403393
P441-PWY	8.94418994113289	0.011423359163772843	0.029460242053940492
ALL-CHORISMATE-PWY	8.912659626280963	0.011604877290716291	0.029732757503011673
PWY-7184	8.86824363641972	0.011865481383310197	0.030203043521153227
PWY-7242	8.737928106116215	0.012664353372895237	0.03202855820758021
PANTOSYN-PWY	8.635389001049361	0.013330581790772785	0.03349735937168546
UDPNAGSYN-PWY	8.547734759436253	0.013927814714236705	0.03446665072269835
HOMOSER-METSYN-PWY	8.540241411474426	0.013980095573747542	0.03446665072269835
MET-SAM-PWY	8.548107291962879	0.013925220673832377	0.03446665072269835
SER-GLYSYN-PWY	8.516312278097303	0.014148365993548732	0.03466349668419439
PWY-7228	8.451115136765111	0.014617182358333708	0.03558966139420381
COBALSYN-PWY	8.404882796566653	0.014959011298634	0.03613470416245908
PWY-7237	8.396026360545193	0.015025399945104156	0.03613470416245908
ARG+POLYAMINE-SYN	8.366891336540675	0.015245884697159616	0.0364413829346742
PWY-5028	8.344586343675687	0.015416866034037784	0.036626736274804915
RIBOSYN2-PWY	8.305961384303828	0.01571749757251317	0.037116018364007
PWY-5838	8.214118515119253	0.016456096581729862	0.038627484191844946
P124-PWY	8.166772356323918	0.016850310784633508	0.03931739183081152
RUMP-PWY	8.146614972045882	0.017020998589526985	0.03948065945026378
POLYISOPRENSYN-PWY	8.122476828401886	0.017227670906812216	0.039724982326296406
PANTO-PWY	8.048124299575193	0.017880185227910635	0.040988494791467656
PWY-6125	7.980961186810418	0.018490825415312474	0.042141881179084247
PWY-6891	7.87408589945494	0.019505809206989785	0.04419813415687859
PWY-5862	7.813450991467562	0.02010623132619139	0.04503795817066871
PWY-5860	7.813450991467562	0.02010623132619139	0.04503795817066871
PWY-7527	7.697212800240896	0.021309412550024515	0.047193727229432825
PWY-4361	7.697212800240896	0.021309412550024515	0.047193727229432825
OANTIGEN-PWY	7.655926357802855	0.02175387929628737	0.04769751223846289
P163-PWY	7.6535041414551035	0.021780241557869534	0.04769751223846289
PWY-5415	7.525935780085778	0.02321473923821935	0.050556543229899914
PWY-5104	7.482813801993416	0.023720706957997034	0.05137302280405988
GALACTARDEG-PWY	7.433829472144694	0.024308851491013646	0.05207141958730792
GLUCARGALACTSUPER-PWY	7.433829472144694	0.024308851491013646	0.05207141958730792
GLUCARDEG-PWY	7.402317409441924	0.024694895793952627	0.052483724878120544
PWY-5121	7.3963163489577255	0.024769104853194644	0.052483724878120544
PWY-6471	7.366369268894459	0.02514277664943801	0.052842911490021884
PWY0-1298	7.361169847335759	0.025208225634270644	0.052842911490021884
PWY-7187	7.259950845324511	0.026516836114122654	0.05529042423795788
PWY-5304	7.204298900071705	0.027265054545548163	0.05654974276113693
HEME-BIOSYNTHESIS-II	7.193169869598478	0.02741719425629443	0.05656600078140746
P261-PWY	7.169785386081592	0.02773964412733889	0.05693162564354369
PWY-5695	7.01324323656263	0.029998088432064116	0.061246097215464236
PWY-7539	6.963035795226688	0.030760684009461373	0.062477658713517396
P122-PWY	6.950018475054094	0.03096154781372052	0.06256147805658992
ARGORNPROST-PWY	6.936819113666843	0.031166559906124238	0.06265277683692667
PWY-5855	6.832444139689505	0.03283625397599443	0.06309711548328341
PWY-5857	6.832444139689505	0.03283625397599443	0.06309711548328341
PWY-5856	6.832444139689505	0.03283625397599443	0.06309711548328341
PWY-5896	6.868299117418019	0.032252827708221625	0.06309711548328341
PWY-5850	6.868299117418019	0.032252827708221625	0.06309711548328341
PWY-5845	6.868299117418019	0.032252827708221625	0.06309711548328341
PWY-6708	6.832444139689505	0.03283625397599443	0.06309711548328341
PWY-1861	6.909389520452805	0.03159694752938613	0.06309711548328341
PWY-6608	6.8799146039737025	0.03206605445544581	0.06309711548328341
PWY-5973	6.792086980109843	0.03350557319176015	0.06406919361546332
