#OTU ID	CT12	CT15	CT16	CT17	CT18	CT19	CT2	CT23	CT26	CT28	CT30	CT35	CT40	CT41	CT52	PD100	PD101	PD105	PD106	PD109	PD111	PD120	PD122	PD131	PD141	PD146	PD165	PD166	PD191	PD200	PD208	PD214	PD219	PD223	PD235	PD31	PD34	PD51	PD66	PD70	PD93	PD94	PD98	PV102	PV111	PV115	PV121	PV123	PV125	PV127	PV131	PV132	PV135	PV140	PV145	PV152	PV154	PV155	PV158	PV162	PV163	PV164	PV165	PV17	PV26	PV42	PV48	PV55	PV60	PV62	PV66	PV69	PV70	PV71	PV72	PV79	PV80	PV83	PV88	PV98
g__Megamonas	108	0	3423	6	1900	0	0	1016	1478	4	5	2666	0	0	0	7198	0	102	85	0	0	122	0	0	3207	0	0	0	958	537	0	0	5836	0	0	0	7	0	0	7	1190	0	0	2	185	3619	11036	31	0	10	0	371	1998	1341	0	112	14836	0	0	778	8	0	0	0	0	0	4	0	0	10	0	0	538	0	0	0	0	0	0	603
g__Merdibacter	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0
g__Merdimmobilis	0	0	0	2	10	6	0	0	3	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0
g__Merdimonas	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	187	0	0	71	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	30	0	0	0	0
g__Merdivicinus	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	6	0	0	0	0	0	2	0	4	0	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	16	10	0	0	0
g__Muricomes	0	0	5	0	0	0	0	0	0	0	0	15	0	0	0	0	8	7	0	0	0	12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Murimonas	24	69	102	54	21	57	16	23	49	15	39	13	0	0	16	0	21	61	0	27	0	0	15	21	0	10	0	55	0	12	0	0	0	194	0	48	0	0	42	0	184	0	0	37	35	0	118	0	45	29	40	83	17	0	66	21	0	22	32	44	0	30	46	0	74	16	13	16	62	22	55	0	44	12	0	0	13	33	0	16
g__Nanosynbacter	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	22	53	0	0	0	0	0	9	0	0	0	0	0	0	0	0	17	0	6	0	68	0	0	153	16	0	0	13	0	0	0	0	0	0	16	0	70	0	0	0	0	0	5	0	0	0	12	0	428	0	159	0	0	0	0	0	0	0	35	0	0
g__Negativibacillus	41	0	0	0	22	0	11	8	0	0	0	0	42	225	0	0	0	20	92	2	0	0	0	7	40	51	0	0	0	0	0	0	0	0	0	0	0	0	8	0	226	0	0	0	25	0	0	97	0	4	0	0	0	0	0	2	3	10	0	0	0	9	0	0	0	0	16	0	37	0	10	0	0	78	19	0	61	0	1224	0
g__Odoribacter	153	921	179	0	289	0	29	13	4	511	0	117	0	97	70	0	611	38	815	317	547	294	208	0	0	0	0	0	0	8	946	240	13	0	0	138	19	0	29	0	416	1011	838	7	33	5	293	138	378	0	0	103	6	0	656	0	0	0	206	0	0	351	2	0	299	584	0	60	23	7	0	0	79	12	287	311	176	21	0	0
g__Oliverpabstia	144	679	1002	0	248	63	0	133	84	138	70	123	0	0	44	0	938	77	0	520	0	158	446	180	0	189	99	82	0	64	0	104	0	0	0	289	0	280	111	0	137	400	0	544	0	0	412	146	469	103	168	10	55	161	484	67	0	0	151	0	131	225	142	0	351	0	289	66	138	63	0	0	112	147	61	0	221	497	0	15
g__Onthenecus	78	222	128	118	33	0	0	0	24	0	33	17	0	0	25	0	395	131	0	0	0	56	0	80	0	16	0	122	0	0	0	0	0	0	0	26	0	0	67	0	392	0	0	0	0	0	111	0	64	25	29	7	0	81	66	49	0	0	80	52	3	22	40	0	0	0	0	45	101	0	0	0	0	60	0	0	39	38	0	0
g__Otoolea	105	310	304	296	374	195	50	73	66	222	153	215	39	0	100	10	32	135	83	72	82	10	51	88	143	17	0	58	0	110	60	33	0	380	0	53	26	98	49	157	100	0	0	225	87	196	625	223	0	82	89	42	0	77	272	44	325	67	89	70	192	221	54	0	102	210	31	140	107	74	0	19	0	186	150	25	272	162	529	0
g__Parabacteroides	108	89	91	219	93	248	16	83	61	0	283	122	518	143	65	0	571	806	0	270	10	50	0	237	233	12	6	19	0	0	26	7	3	31	1173	12	0	0	37	111	1445	0	1624	0	79	288	145	195	425	31	17	13	0	397	95	12	213	108	71	79	30	27	51	136	230	38	151	0	57	10	52	32	62	143	65	4	189	160	0	4
g__Paraprevotella	42	81	26	256	0	0	0	46	32	0	63	0	0	0	113	0	0	171	0	0	0	0	0	148	0	26	0	11	0	0	0	0	0	0	0	36	0	0	7	0	161	0	0	0	0	31	104	0	0	0	0	0	7	654	546	23	0	0	0	29	0	0	23	0	148	0	0	0	7	0	0	0	0	62	0	0	0	0	0	4
