	tSNE-1	tSNE-2	cluster
PV14	1.0655768	-3.1107478	2
PV140	10.502405	24.962969	1
PV141	8.288707	-11.657613	2
PV142	12.540916	7.598145	3
PV143	-18.302376	-7.928092	0
PV144	7.8673854	3.3847084	3
PV145	20.913961	38.1627	1
PV146	-11.4786005	14.046161	3
PV147	11.576642	-11.721093	2
PV148	13.565672	4.6318884	3
PV149	-7.457622	-26.022902	2
PV15	1.2854581	-0.031886157	2
PV150	-11.555163	18.258928	3
PV151	-0.5795705	-27.642918	2
PV152	24.162367	45.86472	1
PV153	-16.890467	-8.246402	0
PV154	25.400871	43.830112	1
PV155	13.248124	27.813826	1
PV156	11.593835	1.2039349	2
PV157	17.825048	-12.878862	2
PV158	23.25639	44.68083	1
PV159	-3.8169694	-27.814207	2
PV16	-4.007891	-18.556221	2
PV160	8.758781	-9.465331	2
PV161	14.41738	-0.24765188	2
PV162	22.733671	42.58935	1
PV163	22.899323	43.68351	1
PV164	17.841444	37.32376	1
PV165	8.391509	31.94485	1
PV166	-16.917181	7.5376015	3
PV17	15.566716	39.071304	1
PV18	2.3390584	-13.835388	2
PV19	7.2891207	-26.683971	2
PV2	-0.5885282	11.290569	3
PV20	-10.90461	-13.87708	2
PV21	0.46969667	8.647543	3
PV22	0.097488694	7.850005	3
PV23	9.510961	8.680889	3
PV24	14.749476	-24.147896	2
PV25	7.5028324	-12.441224	2
PV26	6.5952187	30.87066	1
PV27	4.7474074	-13.100331	2
PV28	-9.984588	1.6468511	3
PV29	8.623874	-15.690883	2
PV3	-7.44588	-19.241705	2
PV30	-3.0946264	-6.920605	2
PV31	14.277395	4.735626	3
PV32	-4.051285	-5.018109	2
PV33	11.4613495	-5.7631607	2
PV34	-5.00635	-10.61522	2
PV35	-0.37710932	-3.8523607	2
PV36	13.230384	6.049347	3
PV37	8.133168	6.191897	3
PV38	17.653563	-9.078166	2
PV39	-16.068068	8.66178	3
PV4	-27.602663	4.0580573	0
PV40	-6.7212934	-8.006992	2
PV41	15.810733	-3.0257165	2
PV42	22.480547	45.657337	1
PV43	5.763644	-1.3359393	2
PV44	-22.309608	-15.170068	0
PV45	-21.317291	-15.130471	0
PV46	-2.5339308	6.219062	3
PV47	-4.7370834	-5.5228496	2
PV48	10.404179	24.338732	1
PV49	7.4472504	-4.9905124	2
PV5	-1.671381	-2.1952825	2
PV50	0.30585217	-15.865302	2
PV51	-17.066446	15.309858	3
PV52	16.528963	-4.033084	2
PV53	-5.254477	7.878792	3
PV54	-15.361998	4.77596	3
PV55	20.572927	44.42282	1
PV56	1.6874089	-14.2210455	2
PV57	-1.0596445	6.471928	3
PV58	1.022303	6.5625706	3
PV59	10.640809	1.0224907	2
PV6	-0.18749477	-7.7868156	2
PV60	6.5997567	24.520576	1
PV61	11.6871805	5.2445583	3
PV62	17.03501	40.92989	1
PV63	-1.5156586	-7.342673	2
PV64	16.036955	-25.239515	2
PV65	14.237379	-5.5262775	2
PV66	18.834555	33.526554	1
PV67	8.871652	-8.608934	2
PV68	-3.882938	-13.657447	2
PV69	21.437805	43.77675	1
PV7	14.859981	3.7680538	3
PV70	21.64859	39.54908	1
PV71	19.09199	34.305374	1
PV72	22.373161	38.19349	1
PV73	-1.2157626	-12.237459	2
PV74	2.0650473	6.9033756	3
PV75	-7.4308734	-25.300098	2
PV76	16.538666	-18.295897	2
PV77	5.6928616	-11.834136	2
PV78	11.213934	-13.483795	2
PV79	25.797853	46.737125	1
PV8	6.207541	2.404537	3
PV80	12.6283655	27.13068	1
PV81	12.172166	-21.031313	2
PV82	-0.8037918	-12.826863	2
PV83	13.669321	31.112389	1
PV84	-7.6410804	-10.826344	2
PV85	10.555826	-20.52444	2
PV86	-3.8312833	10.527948	3
PV87	3.2691329	0.6945428	2
PV88	24.849207	37.639412	1
PV89	12.912739	-5.5603023	2
PV9	-4.5366964	-17.728582	2
PV90	14.595344	-17.704893	2
PV91	12.352887	-21.93113	2
PV92	16.849234	-7.1943345	2
PV93	2.8017676	-5.6579833	2
PV94	15.203775	-26.571596	2
PV95	0.5021912	-21.296452	2
PV96	-2.3683882	-25.657139	2
PV97	-11.757521	-13.774868	2
PV98	25.802088	45.14861	1
PV99	2.9494233	-25.87678	2
