#OTU ID	CT1	CT10	CT11	CT13	CT14	CT20	CT22	CT24	CT3	CT31	CT32	CT33	CT36	CT37	CT38	CT4	CT42	CT45	CT47	CT49	CT53	CT54	CT57	CT6	CT7	CT8	CT9	PD1	PD102	PD107	PD108	PD112	PD113	PD118	PD127	PD128	PD134	PD137	PD157	PD158	PD16	PD160	PD161	PD169	PD172	PD174	PD177	PD184	PD190	PD196	PD198	PD204	PD205	PD207	PD212	PD213	PD215	PD217	PD221	PD222	PD224	PD232	PD234	PD24	PD240	PD246	PD256	PD33	PD39	PD40	PD45	PD49	PD56	PD57	PD6	PD61	PD62	PD63	PD64	PD71	PD72	PD73	PD76	PD78	PD79	PD80	PD86	PD87	PD89	PD99	PV117	PV118	PV122	PV124	PV133	PV134	PV136	PV138	PV142	PV144	PV146	PV148	PV150	PV166	PV2	PV21	PV22	PV23	PV28	PV31	PV36	PV37	PV39	PV46	PV51	PV53	PV54	PV57	PV58	PV61	PV7	PV74	PV8	PV86	PV87
g__Bifidobacterium	814	6804	1668	7787	1059	7942	2036	2283	2868	3672	2448	1623	3973	678	1364	67	977	1309	4892	47	1356	1223	100	1185	536	9494	2602	113	2311	44	0	4982	57	345	98	1129	462	7651	16082	5716	3229	1248	405	993	6948	0	2007	481	1626	1627	776	1508	247	0	3904	70	293	0	1584	1835	1182	366	1231	469	0	1640	17	1013	283	8612	2218	8818	386	242	2925	7462	132	1268	419	0	5919	1687	3556	239	6042	5407	2771	4743	501	1568	678	5043	736	805	3795	3002	40	901	1169	1561	0	0	1462	8925	3699	2585	4920	0	268	475	86	1164	1114	7211	0	9368	12508	4326	135	582	293	789	4458	5141	664
g__Bittarella	36	0	0	0	0	0	0	11	0	0	0	0	0	0	9	3	4	7	1	7	4	0	0	62	0	28	6	0	5	8	17	0	0	9	0	15	0	0	0	13	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	3	0	0	14	0	0	0	9	0	0	32	0	6	20	0	0	9	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	6	6	8	0	0	0	0	7	5	6	0	0	0	0	0	4	0	0	0	2	0	0	0	7	4	0	0	5	15	0	0	0	13	0	0
g__Blautia	45	8	41	0	0	19	54	183	76	0	0	0	0	0	69	0	267	0	0	0	0	0	1017	0	451	225	138	293	135	618	170	826	548	3300	1759	45	37	1075	10	240	390	2100	8	186	950	286	388	11	0	0	0	344	17	135	0	44	0	705	908	0	0	145	388	420	540	0	225	618	90	1116	54	79	0	0	3721	2195	3671	794	28	284	35	1844	3258	6943	82	0	0	527	551	0	0	0	0	146	13	41	758	57	0	314	0	1978	0	731	264	662	730	29	1000	0	85	21	87	15	2523	15	12	0	20	0	71	65	0	91	0
g__Blautia_A	3558	1299	2948	1792	5529	6091	3132	3567	2402	5210	2998	4125	2884	3551	2085	3650	16194	2816	2245	11047	2183	9728	2245	3892	8875	9432	7835	7575	3952	2095	10623	13026	6144	8983	1192	3283	3879	4923	3499	6572	5079	3558	6639	10614	7875	2768	5093	2191	997	3275	4050	7129	1361	2587	2696	8297	1209	6032	7934	2215	2813	3085	9133	3856	4514	1719	4042	1866	7290	10153	2234	6478	3855	683	232	5211	17436	11347	3555	2330	12661	5311	8997	3576	6441	9336	11859	5749	8101	5471	4178	3873	3177	3412	2617	2085	5001	6565	5875	2684	7974	5046	4840	5561	2334	2512	3173	6865	14601	3446	1945	3413	4990	2741	23005	10576	7384	1551	3130	1287	3109	2352	3059	1995	2069
g__Brotaphodocola	0	22	0	14	125	19	0	22	0	43	65	46	0	40	24	0	0	0	0	144	19	0	0	0	15	0	40	501	37	0	0	0	36	0	0	0	134	0	0	0	94	78	36	0	0	0	0	19	0	0	0	70	44	24	0	59	54	22	0	12	46	37	19	0	0	0	0	0	0	5	0	0	0	0	0	0	676	121	0	202	0	322	0	0	48	26	0	6	88	37	11	0	22	0	0	0	0	0	88	76	115	194	0	0	0	0	42	0	0	142	15	0	12	0	0	0	0	0	29	60	0	52	44	136	23
g__Butyribacter	0	68	0	8	0	0	0	0	0	45	0	80	135	239	0	0	0	0	39	0	194	0	0	0	131	0	182	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	204	0	0	0	0	0	0	0	0	734	0	0	0	0	159	104	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	368	0	0	178	0	0	0	0	0	17	0	0	0	0	0	0	0	0	224	57	88	0	518	0
g__CAG-170	0	60	0	58	14	0	0	0	0	291	0	48	0	75	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	146	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	41	0	0	0	0	0	836	0	0	0	0	0	0	33	0	0	0	0	108	53	0	0	0	0	0	0	145	120	0	0	25	52	0	0	0	0	0	174	0	0	0	0	0	0	132	78
g__CAG-177	0	0	0	43	0	0	0	722	0	757	0	0	0	0	0	0	0	0	37	0	9	0	0	23	0	0	0	0	0	0	0	0	1721	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	58	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2476	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	2	0	0	0	0	0	394	0	0	0	0	0	0	47	0	0	0	0	0	669	59	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	53	0
g__CAG-217	0	192	0	0	0	0	0	0	0	0	0	0	0	201	0	0	13	0	0	0	0	0	0	0	0	140	22	0	0	0	0	0	606	6	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	58	0	0	0	230	0	0	0	0	0	0	247	0	0	0	235	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	778	0	0	0	166	0	0	0	0	337	0	239	56	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__CAG-488	0	0	0	220	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	418	0	0	0	0	19	0	0	0	1932	0	0	0	0	0	0	0	0	2115	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	2918	0	1959	221	5	0	0	15	140	0	0	1734	0	393	837	0	201	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	21	0
g__Catenibacterium	190	1806	0	0	0	0	0	0	0	0	0	947	1172	0	0	3058	1607	0	0	330	0	11620	4	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4852	0	0	0	0	0	0	0	0	587	0	1773	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4130	0	0	1509	0	0	0	2458	0	0	8	0	0	4087	2424	0	2124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Choladousia	0	16	52	0	5	0	0	0	0	48	17	61	0	40	0	50	280	0	0	0	0	0	0	0	86	0	74	17	0	0	0	0	75	0	0	5	0	0	0	0	0	0	30	0	0	0	0	0	0	36	15	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	12	0	0	0	0	0	0	84	58	46	0	0	0	0	0	323	9	0	0	0	0	0	38	0	23	12	0	0	11	30	131	145	0	0	35	0	0	0	12	0	11	0	17	0	0	0	0	0	0	16	0	28	0	47	0
g__Clostridium	0	0	380	309	0	1143	0	154	0	0	0	13	68	157	50	132	0	1351	46	0	208	0	13	8	547	70	2119	31	572	711	3	489	1576	137	8	0	1324	11	138	65	8	871	5	0	0	0	188	65	7	40	90	587	0	984	416	339	0	20	3	298	0	12	33	76	5719	134	0	0	25	607	0	65	0	0	727	4	37	47	6426	53	211	365	21	57	174	0	45	0	1374	40	18	65	28	259	178	14	0	0	26	16	0	0	16	32	217	104	133	0	13	476	660	67	61	378	50	69	3	36	7	60	12	125	14	40	11
g__Clostridium_A	21	0	17	590	56	53	267	109	30	80	18	31	119	152	10	32	6	19	57	59	30	0	9	61	0	69	28	55	68	49	15	56	5	47	14	0	0	9	23	28	19	3	40	9	49	0	47	63	27	29	43	30	14	13	35	10	0	10	20	0	22	13	80	39	19	14	16	0	46	120	41	0	114	7	18	0	13	0	51	63	32	10	30	49	49	53	9	90	94	0	23	15	221	0	9	59	10	23	77	6	81	10	0	10	25	81	146	84	221	15	0	728	6	51	21	26	26	27	111	8	4	25	704	21	73
g__Clostridium_AP	0	0	0	0	0	0	6	0	0	0	0	0	58	0	0	0	0	13	0	0	80	0	75	0	0	20	0	0	0	0	49	0	0	43	0	0	0	0	0	81	0	0	0	59	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	0	15	107	0	0	0	0	0	43	7	0	0	0	0	44	0	12	0	0	0	114	0	0	62	0	0	0	56	9	0	0	0	0	53	0	0	0	0	0	0	0	0	0	39	95	14	0	0	0	48	0	0	0	0	0	0	30	0	30	0	0
g__Collinsella	5	1586	6024	1812	850	3406	6576	4509	670	4235	605	7516	5666	491	5752	4659	69	3551	1275	884	4176	5173	3	8651	2213	1031	705	15820	2056	1274	0	2	3513	2242	6	10313	374	1543	6	3699	0	331	6501	3	8444	2	0	1241	1154	1656	738	5201	2075	1481	492	0	1395	7131	4	918	501	0	5924	20253	9	0	6077	2946	19415	2661	13239	8815	1453	0	34	8468	0	1410	2461	3697	12743	7585	0	6	17386	3546	5401	3072	4286	1728	1550	2416	1462	6640	5462	0	2750	2579	2204	4089	11151	337	8948	6840	0	577	1095	10	3	3	99	805	10380	4590	2956	1343	1789	2709	3921	1478	1476	2125	1918	553	1028
g__Coprococcus_A	0	41	0	211	144	0	170	239	14	125	83	155	0	68	0	43	10	41	0	218	0	228	0	54	211	86	185	0	0	90	0	0	217	220	0	176	0	100	0	0	0	19	86	0	0	0	0	172	29	75	63	0	16	133	106	0	70	0	0	80	20	191	41	0	29	154	0	0	172	109	110	0	17	0	0	0	0	0	0	185	863	0	0	0	0	225	235	49	59	117	0	0	63	70	35	0	0	531	123	302	566	167	0	165	74	143	234	0	0	143	78	98	10	0	0	0	0	157	75	65	49	0	75	115	88
g__Dialister	0	0	210	264	0	0	0	0	52	2472	0	874	1585	0	91	0	31	0	220	0	0	0	479	0	0	2422	33	1497	139	1027	2883	1926	0	354	0	0	27	0	1279	0	2383	0	2	517	369	155	0	171	4	0	933	0	0	613	728	0	375	0	0	0	341	0	302	1211	1422	1554	0	19	0	1464	0	2	0	1424	0	5	0	0	577	4	7	1167	558	0	742	0	1378	0	742	4770	1098	460	1806	0	0	166	0	0	0	0	0	0	0	0	1898	737	2012	0	0	0	120	0	0	836	0	2406	731	0	2779	253	1060	0	733	0	0
g__Dorea	0	95	332	55	229	147	0	190	164	99	532	48	255	88	0	853	2276	148	105	221	0	80	0	310	575	172	164	0	310	313	526	118	675	0	0	181	64	125	0	327	0	228	162	142	0	0	363	321	121	348	194	0	157	293	113	232	58	0	449	116	228	237	414	202	80	214	0	8	375	421	188	0	48	0	7	0	0	0	0	117	965	0	0	0	0	433	285	239	0	940	203	0	199	148	168	0	421	0	785	299	338	185	446	497	245	86	79	142	0	167	122	189	415	72	0	0	0	303	168	71	241	107	66	132	53
g__Dorea_A	0	248	335	197	895	0	0	692	461	550	878	180	540	238	0	891	760	333	170	318	55	1071	0	4378	885	1263	407	992	532	203	1239	0	1053	683	0	626	89	592	0	0	0	247	149	0	0	0	0	279	41	333	121	505	103	264	171	2058	245	0	0	488	605	240	235	1399	3334	165	0	397	576	362	953	1322	0	0	1148	2003	0	738	321	584	0	753	0	1284	0	427	858	1818	0	1392	422	0	952	453	593	0	1939	0	813	993	1594	458	2589	578	512	302	385	683	0	491	199	195	1070	0	0	0	0	117	793	111	0	118	82	182	0
g__Dorea_D	0	9	0	0	30	0	341	112	42	0	0	133	0	0	0	0	96	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	29	0	0	0	0	0	0	37	0	0	0	0	0	48	0	0	466	0	0	0	117	47	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	45	0	87	0	0	0	0	534	0	0	78	0	0	0	0	0	0	0	0	0	0	97	52	283	0	0	0	0	0	0	0	0	30	0	0
g__Dysosmobacter	3	62	16	0	181	139	122	184	8	522	81	78	84	82	79	0	20	12	12	252	72	0	0	0	8	4	0	147	196	38	0	375	116	47	0	46	62	14	0	98	267	0	82	55	654	110	40	33	5	17	29	0	0	94	53	47	41	2	303	72	98	0	706	0	0	30	0	5	17	14	111	74	21	0	3	135	0	230	49	222	57	116	0	263	0	116	66	343	15	75	8	59	139	13	0	0	136	230	228	34	88	33	12	9	14	152	80	103	394	105	118	148	10	149	0	21	132	226	58	21	204	84	143	111	347
g__Eggerthella	396	7	91	75	36	16	49	19	6	9	0	7	74	58	0	0	0	0	49	8	30	0	2080	10	131	170	0	211	0	542	180	2173	0	168	66	27	9	107	0	0	895	0	12	255	164	419	94	383	14	11	7	0	0	0	0	269	24	0	109	0	17	40	127	166	71	32	351	9	86	253	20	9	385	19	332	128	0	8	23	0	24	23	147	0	34	0	0	130	122	41	16	27	8	0	0	79	0	0	18	0	38	53	278	287	27	20	39	0	394	159	0	70	152	92	94	46	39	15	73	0	237	30	55	7	33
g__Enterobacter	0	0	0	0	0	0	0	0	638	16	92	0	36	0	40	0	0	0	0	9	0	0	0	0	15	0	177	335	86	0	68	0	0	0	0	0	0	0	0	0	0	18	0	0	0	37	0	19	0	0	14	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	8	0	0	21	0	0	0	0	0	0	0	0	16	0	0	0	0	76	19	0	0	0	0	0	0	0	0	0	0	0	0	15	0	21	0	0	0	0	0	20	75	8	55	0	0	0	0	0	0	0	0	0	0	0
g__Enterocloster	310	211	24	105	1797	81	663	171	11	218	680	58	195	38	265	0	27	0	20	564	201	326	98	0	77	268	95	217	495	0	563	581	95	1385	74	0	54	91	678	314	190	196	0	34	159	205	21	80	19	0	11	222	15	22	0	134	64	15	207	0	33	41	45	81	63	84	124	213	137	0	0	38	156	111	2304	87	1899	145	275	400	134	134	604	403	310	128	62	26	318	223	40	196	80	125	64	0	75	1302	823	331	435	516	109	25	79	19	111	240	194	381	59	151	327	68	579	8	97	117	98	70	318	125	191	136	157
